combined_id,line_count,testcase_count,func_call_count
2309.05569_36,2,3,4
2309.05569_37,1,3,0
2309.05569_39,14,3,9
2309.05569_56,7,3,11
2309.05569_57,1,3,1
2309.05569_54,1,3,1
2309.05569_40,11,3,4
2309.05569_41,3,3,3
2309.05569_42,7,3,3
2309.05569_44,5,3,3
2309.05569_45,5,3,2
2309.05569_47,51,3,12
2309.05569_52,17,3,18
2309.05569_11,17,3,6
2309.05569_0,27,10,14
2309.05569_1,10,10,16
2309.05569_2,16,10,14
2309.05569_3,26,10,18
2309.05569_4,47,10,32
2309.05569_5,7,10,7
2309.05569_6,68,10,44
2309.05569_7,14,10,8
2309.05569_9,4,10,3
2303.11932_265,6,8,1
2303.11932_111,8,4,2
2303.11932_104,16,7,7
2303.11932_107,13,11,2
2303.11932_108,14,12,5
2303.11932_109,12,10,2
2303.11932_102,21,10,9
2303.11932_110,18,1,4
2303.11932_111,8,4,2
2303.11932_114,2,1,2
2303.11932_245,3,12,2
2303.11932_33,2,12,1
2303.11932_30,19,3,4
2303.11932_180,215,12,121
2303.11932_199,2,9,2
2303.11932_234,47,10,5
2303.11932_440,19,12,6
2303.11932_438,1,11,1
2303.11932_0,21,6,7
2303.11932_1,3,12,4
2303.11932_2,3,6,4
2303.11932_3,2,6,3
2303.11932_4,44,12,21
2303.11932_5,25,12,24
2303.11932_6,7,12,4
2303.11932_7,29,12,18
2303.11932_8,22,12,19
2303.11932_9,6,5,8
2303.11932_10,6,4,6
2303.11932_11,8,4,9
2303.11932_12,7,4,7
2303.11932_13,5,4,7
2303.11932_14,5,4,5
2110.03485_5,2,3,2
2110.03485_395,19,3,1
2110.03485_398,15,3,7
2110.03485_399,223,3,134
2110.03485_400,15,6,7
2110.03485_401,29,4,6
2110.03485_418,15,3,7
2110.03485_420,167,3,117
2110.03485_421,19,3,12
2110.03485_0,49,6,23
2110.03485_1,26,6,23
2110.03485_2,7,6,10
2110.03485_3,88,6,48
2110.03485_4,156,6,85
2205.00048_48,51,4,28
2205.00048_27,12,4,3
2205.00048_53,16,4,9
2205.00048_45,3,4,3
2205.00048_52,57,4,20
2205.00048_46,44,4,19
2205.00048_8,34,4,18
2205.00048_21,16,4,16
2205.00048_0,11,4,15
2205.00048_1,38,4,42
2205.00048_2,26,4,26
2205.00048_3,39,4,48
2205.00048_4,19,4,23
2205.00048_5,25,4,22
2205.00048_6,34,4,28
