paper_id,exp_id,description,result,func_dependencies,solution
2303.11932,0,"Train a model on VOC2007 dataset with bcos as the model backbone, BCos attribution method, Energy localization loss, and optimizing explanations. Return the IoU after training for 1 epoch in this format {""IoU"": 0.0}. Replace 0.0 with the actual value.","{""IoU"": 0.0011178854996824856}","0,4,5,6,7,8,9,10",python train.py --dataset VOC2007 --model_backbone bcos --total_epochs 1 --localization_loss_fn Energy --attribution_method BCos --optimize_explanations
2303.11932,1,"Train a model on VOC2007 dataset with bcos as the model backbone, GradCam attribution method, Energy localization loss, and optimizing explanations. Return the IoU after training for 1 epoch in this format {""IoU"": 0.0}. Replace 0.0 with the actual value.","{""IoU"": 0.08365939805298694}","0,4,5,6,7,8,11,12",python train.py --dataset VOC2007 --model_backbone bcos --total_epochs 1 --localization_loss_fn Energy --attribution_method GradCam --optimize_explanations
2303.11932,2,"Train a model on VOC2007 dataset with bcos as the model backbone, IxG attribution method, Energy localization loss, and optimizing explanations. Return the IoU after training for 1 epoch in this format {""IoU"": 0.0}. Replace 0.0 with the actual value.","{""IoU"": 0.0012173376492053368}","0,4,5,6,7,8,9,13,14",python train.py --dataset VOC2007 --model_backbone bcos --total_epochs 1 --localization_loss_fn Energy --attribution_method IxG --optimize_explanations
2303.11932,3,"Train a model on VOC2007 dataset with bcos as the model backbone, BCos attribution method, L1 localization loss, and optimizing explanations. Return the IoU after training for 1 epoch in this format {""IoU"": 0.0}. Replace 0.0 with the actual value.","{""IoU"": 0.0011172918019814787}","3,4,5,6,7,8,9,10",python train.py --dataset VOC2007 --model_backbone bcos --total_epochs 1 --localization_loss_fn L1 --attribution_method BCos --optimize_explanations
2303.11932,4,"Train a model on VOC2007 dataset with bcos as the model backbone, BCos attribution method, PPCE localization loss, and optimizing explanations. Return the IoU after training for 1 epoch in this format {""IoU"": 0.0}. Replace 0.0 with the actual value.","{""IoU"": 0.0011075028636673195}","2,4,5,6,7,8,9,10",python train.py --dataset VOC2007 --model_backbone bcos --total_epochs 1 --localization_loss_fn PPCE --attribution_method BCos --optimize_explanations
2303.11932,5,"Train a model on VOC2007 dataset with bcos as the model backbone, BCos attribution method, RRR localization loss, and optimizing explanations. Return the IoU after training for 1 epoch in this format {""IoU"": 0.0}. Replace 0.0 with the actual value.","{""IoU"": 0.0010461464868664432}","1,4,5,6,7,8,9,10",python train.py --dataset VOC2007 --model_backbone bcos --total_epochs 1 --localization_loss_fn RRR --attribution_method BCos --optimize_explanations
2303.11932,6,"Train a model on VOC2007 dataset with bcos as the model backbone, GradCam attribution method, L1 localization loss, and optimizing explanations. Return the IoU after training for 1 epoch in this format {""IoU"": 0.0}. Replace 0.0 with the actual value.","{""IoU"": 0.08383034744334648}","3,4,5,6,7,8,11,12",python train.py --dataset VOC2007 --model_backbone bcos --total_epochs 1 --localization_loss_fn L1 --attribution_method GradCam --optimize_explanations
2303.11932,7,"Train a model on VOC2007 dataset with bcos as the model backbone, GradCam attribution method, PPCE localization loss, and optimizing explanations. Return the IoU after training for 1 epoch in this format {""IoU"": 0.0}. Replace 0.0 with the actual value.","{""IoU"": 0.0834082679933393}","2,4,5,6,7,8,11,12",python train.py --dataset VOC2007 --model_backbone bcos --total_epochs 1 --localization_loss_fn PPCE --attribution_method GradCam --optimize_explanations
2303.11932,8,"Train a model on VOC2007 dataset with bcos as the model backbone, GradCam attribution method, RRR localization loss, and optimizing explanations. Return the IoU after training for 1 epoch in this format {""IoU"": 0.0}. Replace 0.0 with the actual value.","{""IoU"": 0.08362105198746296}","1,4,5,6,7,8,11,12",python train.py --dataset VOC2007 --model_backbone bcos --total_epochs 1 --localization_loss_fn RRR --attribution_method GradCam --optimize_explanations
2303.11932,9,"Train a model on VOC2007 dataset with bcos as the model backbone, IxG attribution method, L1 localization loss, and optimizing explanations. Return the IoU after training for 1 epoch in this format {""IoU"": 0.0}. Replace 0.0 with the actual value.","{""IoU"": 0.0012328967245244153}","3,4,5,6,7,8,13,14",python train.py --dataset VOC2007 --model_backbone bcos --total_epochs 1 --localization_loss_fn L1 --attribution_method IxG --optimize_explanations
2303.11932,10,"Train a model on VOC2007 dataset with bcos as the model backbone, IxG attribution method, PPCE localization loss, and optimizing explanations. Return the IoU after training for 1 epoch in this format {""IoU"": 0.0}. Replace 0.0 with the actual value.","{""IoU"": 0.0011984381446661875}","2,4,5,6,7,8,13,14",python train.py --dataset VOC2007 --model_backbone bcos --total_epochs 1 --localization_loss_fn PPCE --attribution_method IxG --optimize_explanations
2303.11932,11,"Train a model on VOC2007 dataset with bcos as the model backbone, IxG attribution method, RRR localization loss, and optimizing explanations. Return the IoU after training for 1 epoch in this format {""IoU"": 0.0}. Replace 0.0 with the actual value.","{""IoU"": 0.0012248501415785702}","1,4,5,6,7,8,13,14",python train.py --dataset VOC2007 --model_backbone bcos --total_epochs 1 --localization_loss_fn RRR --attribution_method IxG --optimize_explanations
