paper_id,func_id,file,name,header_line,line_start,line_end,relevant_paper
2303.11932,0,losses.py,__call__,68,69,88,"Energy Pointing Game (EPG) measures the concentration of attribution energy within the mask, the
fraction of positive attributions inside the bounding boxes:
$$\label{eq:epg}
    \text{EPG}_k = \frac{\sum_{h=1}^H\sum_{w=1}^W M_{k,hw} A^+_{k,hw}}{\sum_{h=1}^H\sum_{w=1}^W A^+_{k,hw}}\;.$$

In addition to
the losses described in prior work, we propose to also evaluate using
the score (, [\[eq:epg\]](#eq:epg){reference-type=""ref""
reference=""eq:epg""}) as a loss function for model guidance, as it is
fully differentiable. In particular, we simply define it as
$$\label{eq:energyloss}
\textstyle
    \mathcal{L}_{\text{loc},k} = -\text{EPG}_k.$$ Unlike existing
localization losses that either (i) do not constrain attributions across
the entire input (, ), or (ii) force the model to attribute uniformly
within the mask even if it includes irrelevant background regions (, ),
maximizing the score jointly optimizes for higher attribution energy
within the mask and lower attribution energy outside the mask. By not
enforcing a uniformity prior, we find that the loss is able to provide
effective guidance while allowing the model to learn freely what to
focus on within the bounding boxes"
2303.11932,1,losses.py,__call__,90,91,102,"RRR* introduced the RRR loss to regularize the normalized input gradients
$\hat{A}_{k,hw}$ as $$\label{eq:rrr}
    \textstyle \mathcal{L}_{\text{loc},k} = \sum_{h=1}^H\sum_{w=1}^W (1-M_{k,hw}) \hat{A}_{k,hw}^2 \;.$$
To extend it to our setting, we take $\hat{A}_{k,hw}$ to be given by an
arbitrary attribution method (); we denote this generalized version by RRR*.
In contrast to the loss, only regularizes attributions *outside* the
ground truth masks. While it thus does not introduce a uniformity prior
similar to the loss, it also does not explicitly promote high importance
attributions inside the masks."
2303.11932,2,losses.py,__call__,120,121,133,"Per-pixel cross entropy loss (PPCE) applies a binary cross entropy loss between the mask and the normalized
positive annotations $\hat A_{k}^+$, thus guiding the model to maximize
the attributions inside the mask: $$\label{eq:ppce}
\textstyle
    \mathcal{L}_{\text{loc},k} = -\frac{1}{\lVert M_k \rVert_1}\sum_{h=1}^H\sum_{w=1}^W M_{k,hw}\log(\hat{A}_{k,hw}^+) \;.$$
As PPCE does not constrain attributions outside the mask, there is no
explicit pressure to avoid spurious features."
2303.11932,3,losses.py,__call__,105,106,117,
2303.11932,4,bcos/models/bcos_common.py,forward_and_explain,64,65,115,
2303.11932,5,bcos/models/bcos_common.py,gradient_to_image,118,119,149,
2303.11932,6,metrics.py,compute,34,35,41,
2303.11932,7,metrics.py,update,61,62,90,
2303.11932,8,metrics.py,update,170,171,192,
2303.11932,9,attribution_methods.py,_call_batch_mode,175,176,181,"B-cos attributions are generated using the inherently-interpretable networks,
which promote alignment between the input $\mathbf x$ and a dynamic
weight matrix $\mathbf W(\mathbf x)$ during optimization. In our
experiments, we use the contribution maps given by the element-wise
product of the dynamic weights with the input
($\mathbf W^T_k(\mathbf x)\odot \mathbf x$), which faithfully represent
the contribution of each pixel to class $k$. To be able to guide models,
we developed a differentiable implementation of explanations, see
supplement."
2303.11932,10,attribution_methods.py,_call_single,183,184,189,"B-cos attributions are generated using the inherently-interpretable networks,
which promote alignment between the input $\mathbf x$ and a dynamic
weight matrix $\mathbf W(\mathbf x)$ during optimization. In our
experiments, we use the contribution maps given by the element-wise
product of the dynamic weights with the input
($\mathbf W^T_k(\mathbf x)\odot \mathbf x$), which faithfully represent
the contribution of each pixel to class $k$. To be able to guide models,
we developed a differentiable implementation of explanations, see
supplement."
2303.11932,11,attribution_methods.py,_call_batch_mode,198,199,206,"GradCam computes importance attributions as a ReLU-thresholded,
gradient-weighted sum of activation maps. In detail, it is given by
$\text{ReLU}(\sum_c \alpha_c^k \odot U_c)$ with $c$ denoting the channel
dimension, and $\alpha^k$ the average-pooled gradients of the output for
class $k$ with respect to the activations $U$ of the last convolutional
layer in the model."
2303.11932,12,attribution_methods.py,_call_single,208,209,215,"GradCam computes importance attributions as a ReLU-thresholded,
gradient-weighted sum of activation maps. In detail, it is given by
$\text{ReLU}(\sum_c \alpha_c^k \odot U_c)$ with $c$ denoting the channel
dimension, and $\alpha^k$ the average-pooled gradients of the output for
class $k$ with respect to the activations $U$ of the last convolutional
layer in the model."
2303.11932,13,attribution_methods.py,_call_batch_mode,224,225,229,"IxG computes the element-wise product $\odot$ of the input and the gradients
of the $k$-th output w.r.t. the input, $X\odot\nabla_X f_k(X)$. For
piece-wise linear models such as DNNs with ReLU activations , this
faithfully computes the linear contributions of a given input pixel to
the model output."
2303.11932,14,attribution_methods.py,_call_single,231,232,236,"IxG computes the element-wise product $\odot$ of the input and the gradients
of the $k$-th output w.r.t. the input, $X\odot\nabla_X f_k(X)$. For
piece-wise linear models such as DNNs with ReLU activations , this
faithfully computes the linear contributions of a given input pixel to
the model output."
2309.05569,0,iti_gen/model.py,__init__,30,31,57,
2309.05569,1,iti_gen/model.py,ori_text_feature_extraction,129,130,139,
