paper_id,test_id,func_dependencies,command_sequence
2303.11932,0,"0,4,5,6,7,8,9,10",python train.py --dataset VOC2007 --model_backbone bcos --total_epochs 100 --localization_loss_fn Energy --attribution_method BCos --optimize_explanations
2303.11932,1,"0,4,5,6,7,8,11,12",python train.py --dataset VOC2007 --model_backbone bcos --total_epochs 100 --localization_loss_fn Energy --attribution_method GradCam --optimize_explanations
2303.11932,2,"0,4,5,6,7,8,9,13,14",python train.py --dataset VOC2007 --model_backbone bcos --total_epochs 100 --localization_loss_fn Energy --attribution_method IxG --optimize_explanations
2303.11932,3,"3,4,5,6,7,8,9,10",python train.py --dataset VOC2007 --model_backbone bcos --total_epochs 100 --localization_loss_fn L1 --attribution_method BCos --optimize_explanations
2303.11932,4,"2,4,5,6,7,8,9,10",python train.py --dataset VOC2007 --model_backbone bcos --total_epochs 100 --localization_loss_fn PPCE --attribution_method BCos --optimize_explanations
2303.11932,5,"1,4,5,6,7,8,9,10",python train.py --dataset VOC2007 --model_backbone bcos --total_epochs 100 --localization_loss_fn RRR --attribution_method BCos --optimize_explanations
2303.11932,6,"3,4,5,6,7,8,11,12",python train.py --dataset VOC2007 --model_backbone bcos --total_epochs 100 --localization_loss_fn L1 --attribution_method GradCam --optimize_explanations
2303.11932,8,"2,4,5,6,7,8,11,12",python train.py --dataset VOC2007 --model_backbone bcos --total_epochs 100 --localization_loss_fn PPCE --attribution_method GradCam --optimize_explanations
2303.11932,9,"1,4,5,6,7,8,11,12",python train.py --dataset VOC2007 --model_backbone bcos --total_epochs 100 --localization_loss_fn RRR --attribution_method GradCam --optimize_explanations
2303.11932,10,"3,4,5,6,7,8,13,14",python train.py --dataset VOC2007 --model_backbone bcos --total_epochs 100 --localization_loss_fn L1 --attribution_method IxG --optimize_explanations
2303.11932,11,"2,4,5,6,7,8,13,14",python train.py --dataset VOC2007 --model_backbone bcos --total_epochs 100 --localization_loss_fn PPCE --attribution_method IxG --optimize_explanations
2303.11932,12,"1,4,5,6,7,8,13,14",python train.py --dataset VOC2007 --model_backbone bcos --total_epochs 100 --localization_loss_fn RRR --attribution_method IxG --optimize_explanations
2205.00048,0,"0,1,2,3,4,5,6",python src/run_metric.py --ndatapoints 5000 --conduct sh --model Pop --age N
2205.00048,1,"0,1,2,3,4,5,6",python src/run_metric.py --ndatapoints 5000 --conduct sh --model Pop --age Y
2205.00048,2,"0,1,2,3,4,5,6",python src/run_metric.py --ndatapoints 5000 --model BPRMF --age N
2205.00048,3,"0,1,2,3,4,5,6",python src/run_metric.py --ndatapoints 5000 --conduct sh --model BPRMF --age Y
2309.05569,0,"0,1,2,3,4,5,6,7,8,9","python train_iti_gen.py --prompt=""a headshot of a person"" --attr-list=""5_o_Clock_Shadow"" --epochs=30"
2309.05569,1,"0,1,2,3,4,5,6,7,8,9","python train_iti_gen.py --prompt=""a headshot of a person"" --attr-list=""High_Cheekbones"" --epochs=30"
2309.05569,2,"0,1,2,3,4,5,6,7,8,9","python train_iti_gen.py --prompt=""a headshot of a person"" --attr-list=""Bangs"" --epochs=30"
2309.05569,3,"0,1,2,3,4,5,6,7,8,9","python train_iti_gen.py --prompt=""a headshot of a person"" --attr-list=""Chubby"" --epochs=30"
2309.05569,4,"0,1,2,3,4,5,6,7,8,9","python train_iti_gen.py --prompt=""a headshot of a person"" --attr-list=""Smiling"" --epochs=30"
2309.05569,5,"0,1,2,3,4,5,6,7,8,9","python train_iti_gen.py --prompt=""a headshot of a person"" --attr-list=""Sideburns"" --epochs=30"
2309.05569,6,"0,1,2,3,4,5,6,7,8,9","python train_iti_gen.py --prompt=""a headshot of a person"" --attr-list=""Male,Young"" --epochs=30"
2309.05569,7,"0,1,2,3,4,5,6,7,8,9","python train_iti_gen.py --prompt=""a headshot of a person"" --attr-list=""Male,Young"" --epochs=30"
2309.05569,8,"0,1,2,3,4,5,6,7,8,9","python train_iti_gen.py --prompt=""a headshot of a person"" --attr-list=""Male,Young,Eyeglasses"" --epochs=30"
2309.05569,9,"0,1,2,3,4,5,6,7,8,9","python train_iti_gen.py --prompt=""a headshot of a person"" --attr-list=""Male,Young,Eyeglasses,Smiling"" --epochs=30"
2110.03485,0,"0,1,2,3,4",python cartoonx/main.py --imgdir=images/imagenet_sample --logdir=logs/experiment1 --n_images=1 --hparams hparams_long.yaml
2110.03485,1,"0,1,2,3,4",python cartoonx/main.py --imgdir=images/imagenet_sample --logdir=logs/experiment1 --n_images=1 --lambda_cartoonx 10 --hparams hparams_long.yaml
2110.03485,2,"0,1,2,3,4",python cartoonx/main.py --imgdir=images/imagenet_sample --logdir=logs/experiment1 --n_images=1 --lambda_cartoonx 30 --hparams hparams_long.yaml
2110.03485,3,"0,1,2,3,4",python experiments/model_agnosticism_exp.py --imgdir=images/imagenet_sample --logdir=logs/experiment2 --n_images=1 --lambda_vit=10
2110.03485,4,"0,1,2,3,4",python experiments/model_agnosticism_exp.py --imgdir=images/imagenet_sample --logdir=logs/experiment2 --n_images=1 --lambda_vit=20
2110.03485,5,"0,1,2,3,4",python experiments/model_agnosticism_exp.py --imgdir=images/imagenet_sample --logdir=logs/experiment2 --n_images=1 --lambda_vit=5
