paper_id,exp_id,combined_id,description,result,refsol,environment
0000.00000,0,0000.00000_0,"Experiment: run a Multivariate experiment with MICN-regre model on ETTm2 dataset with prediction length 96
Parameters:
- model micn
- mode regre
- seq_len 96
- label_len 96
- multivariate to multivariate
- conv_kernel 12 16
Return: MSE loss",0.179,python -u run.py \--model micn \--mode regre \--data ETTm2 \--features M \--freq t \--conv_kernel 12 16 \--d_layers 1 \--d_model 512 \--seq_len 96 \--label_len 96 \--pred_len 96,micn_env
0000.00000,1,0000.00000_1,"Experiment: run a Multivariate experiment with MICN-regre model on ETTm2 dataset with prediction length 96
Parameters:
- seq_len 96
- label_len 96
- conv_kernel 12 16
Return: MAE loss",0.275,python -u run.py \--model micn \--mode regre \--data ETTm2 \--features M \--freq t \--conv_kernel 12 16 \--d_layers 1 \--d_model 512 \--seq_len 96 \--label_len 96 \--pred_len 96,micn_env
0000.00000,2,0000.00000_2,"Experiment: run a Multivariate experiment with MICN-regre model on ETTm2 dataset with prediction length 192
Parameters:
- seq_len 96
- label_len 96
- conv_kernel 12 16
Return: MSE loss",0.307,python -u run.py \--model micn \--mode regre \--data ETTm2 \--features M \--freq t \--conv_kernel 12 16 \--d_layers 1 \--d_model 512 \--seq_len 96 \--label_len 96 \--pred_len 192,micn_env
0000.00000,3,0000.00000_3,"Experiment: run a Multivariate experiment with MICN-regre model on ETTm2 dataset with prediction length 192
Parameters:
- seq_len 96
- label_len 96
- conv_kernel 12 16
Return: MAE loss",0.376,python -u run.py \--model micn \--mode regre \--data ETTm2 \--features M \--freq t \--conv_kernel 12 16 \--d_layers 1 \--d_model 512 \--seq_len 96 \--label_len 96 \--pred_len 192,micn_env
0000.00000,4,0000.00000_4,"Experiment: run a Multivariate experiment with MICN-regre model on ETTm2 dataset with prediction length 336
Parameters:
- seq_len 96
- label_len 96
- conv_kernel 12 16
Return: MSE loss",0.325,python -u run.py \--model micn \--mode regre \--data ETTm2 \--features M \--freq t \--conv_kernel 12 16 \--d_layers 1 \--d_model 512 \--seq_len 96 \--label_len 96 \--pred_len 336,micn_env
0000.00000,5,0000.00000_5,"Experiment: run a Multivariate experiment with MICN-regre model on ETTm2 dataset with prediction length 336
Parameters:
- seq_len 96
- label_len 96
- conv_kernel 12 16
Return: MAE loss",0.388,python -u run.py \--model micn \--mode regre \--data ETTm2 \--features M \--freq t \--conv_kernel 12 16 \--d_layers 1 \--d_model 512 \--seq_len 96 \--label_len 96 \--pred_len 336,micn_env
0000.00000,6,0000.00000_6,"Experiment: run a Multivariate experiment with MICN-regre model on ETTm2 dataset with prediction length 720
Parameters:
- seq_len 96
- label_len 96
- conv_kernel 12 16
Return: MSE loss",0.502,python -u run.py \--model micn \--mode regre \--data ETTm2 \--features M \--freq t \--conv_kernel 12 16 \--d_layers 1 \--d_model 512 \--seq_len 96 \--label_len 96 \--pred_len 720,micn_env
0000.00000,7,0000.00000_7,"Experiment: run a Multivariate experiment with MICN-regre model on ETTm2 dataset with prediction length 720
Parameters:
- seq_len 96
- label_len 96
- conv_kernel 12 16
Return: MAE loss",0.49,python -u run.py \--model micn \--mode regre \--data ETTm2 \--features M \--freq t \--conv_kernel 12 16 \--d_layers 1 \--d_model 512 \--seq_len 96 \--label_len 96 \--pred_len 720,micn_env
0000.00000,8,0000.00000_8,"Experiment: run a Multivariate experiment with MICN-mean model on ETTm2 dataset with prediction length 96
Parameters:
- seq_len 96
- label_len 96
- conv_kernel 12 16
Return: MSE loss",0.203,python -u run.py \--model micn \--mode mean \--data ETTm2 \--features M \--freq t \--conv_kernel 12 16 \--d_layers 1 \--d_model 512 \--seq_len 96 \--label_len 96 \--pred_len 96,micn_env
0000.00000,9,0000.00000_9,"Experiment: run a Multivariate experiment with MICN-mean model on ETTm2 dataset with prediction length 96
Parameters:
- seq_len 96
- label_len 96
- conv_kernel 12 16
Return: MAE loss",0.287,python -u run.py \--model micn \--mode mean \--data ETTm2 \--features M \--freq t \--conv_kernel 12 16 \--d_layers 1 \--d_model 512 \--seq_len 96 \--label_len 96 \--pred_len 96,micn_env
0000.00000,10,0000.00000_10,"Experiment: run a Multivariate experiment with MICN-mean model on ETTm2 dataset with prediction length 192
Parameters:
- seq_len 96
- label_len 96
- conv_kernel 12 16
Return: MSE loss",0.262,python -u run.py \--model micn \--mode mean \--data ETTm2 \--features M \--freq t \--conv_kernel 12 16 \--d_layers 1 \--d_model 512 \--seq_len 96 \--label_len 96 \--pred_len 192,micn_env
0000.00000,11,0000.00000_11,"Experiment: run a Multivariate experiment with MICN-mean model on ETTm2 dataset with prediction length 192
Parameters:
- seq_len 96
- label_len 96
- conv_kernel 12 16
Return: MAE loss",0.326,python -u run.py \--model micn \--mode mean \--data ETTm2 \--features M \--freq t \--conv_kernel 12 16 \--d_layers 1 \--d_model 512 \--seq_len 96 \--label_len 96 \--pred_len 192,micn_env
0000.00000,12,0000.00000_12,"Experiment: run a Multivariate experiment with MICN-mean model on ETTm2 dataset with prediction length 336
Parameters:
- seq_len 96
- label_len 96
- conv_kernel 12 16
Return: MSE loss",0.305,python -u run.py \--model micn \--mode mean \--data ETTm2 \--features M \--freq t \--conv_kernel 12 16 \--d_layers 1 \--d_model 512 \--seq_len 96 \--label_len 96 \--pred_len 336,micn_env
0000.00000,13,0000.00000_13,"Experiment: run a Multivariate experiment with MICN-mean model on ETTm2 dataset with prediction length 336
Parameters:
- seq_len 96
- label_len 96
- conv_kernel 12 16
Return: MAE loss",0.353,python -u run.py \--model micn \--mode mean \--data ETTm2 \--features M \--freq t \--conv_kernel 12 16 \--d_layers 1 \--d_model 512 \--seq_len 96 \--label_len 96 \--pred_len 336,micn_env
0000.00000,14,0000.00000_14,"Experiment: run a Multivariate experiment with MICN-mean model on ETTm2 dataset with prediction length 720
Parameters:
- seq_len 96
- label_len 96
- conv_kernel 12 16
Return: MSE loss",0.389,python -u run.py \--model micn \--mode mean \--data ETTm2 \--features M \--freq t \--conv_kernel 12 16 \--d_layers 1 \--d_model 512 \--seq_len 96 \--label_len 96 \--pred_len 720,micn_env
0000.00000,15,0000.00000_15,"Experiment: run a Multivariate experiment with MICN-mean model on ETTm2 dataset with prediction length 720
Parameters:
- seq_len 96
- label_len 96
- conv_kernel 12 16
Return: MAE loss",0.407,python -u run.py \--model micn \--mode mean \--data ETTm2 \--features M \--freq t \--conv_kernel 12 16 \--d_layers 1 \--d_model 512 \--seq_len 96 \--label_len 96 \--pred_len 720,micn_env
0000.00000,16,0000.00000_16,"Experiment: run a Univariate experiment with MICN-regre model on ETTm2 dataset with prediction length 96
Parameters:
- seq_len 96
- label_len 96
- conv_kernel 12 16
Return: MSE loss",0.059,python -u run.py \--model micn \--mode regre \--data ETTm2 \--features S \--freq t \--conv_kernel 12 16 \--d_layers 1 \--d_model 512 \--seq_len 96 \--label_len 96 \--pred_len 96,micn_env
0000.00000,17,0000.00000_17,"Experiment: run a Univariate experiment with MICN-regre model on ETTm2 dataset with prediction length 96
Parameters:
- seq_len 96
- label_len 96
- conv_kernel 12 16
Return: MAE loss",0.176,python -u run.py \--model micn \--mode regre \--data ETTm2 \--features S \--freq t \--conv_kernel 12 16 \--d_layers 1 \--d_model 512 \--seq_len 96 \--label_len 96 \--pred_len 96,micn_env
0000.00000,18,0000.00000_18,"Experiment: run a Univariate experiment with MICN-regre model on ETTm2 dataset with prediction length 192
Parameters:
- seq_len 96
- label_len 96
- conv_kernel 12 16
Return: MSE loss",0.1,python -u run.py \--model micn \--mode regre \--data ETTm2 \--features S \--freq t \--conv_kernel 12 16 \--d_layers 1 \--d_model 512 \--seq_len 96 \--label_len 96 \--pred_len 192,micn_env
0000.00000,19,0000.00000_19,"Experiment: run a Univariate experiment with MICN-regre model on ETTm2 dataset with prediction length 192
Parameters:
- model micn
- mode regre
- seq_len 96
- label_len 96
- conv_kernel 12 16
- univariate to univariate
Return: MAE loss",0.234,python -u run.py \--model micn \--mode regre \--data ETTm2 \--features S \--freq t \--conv_kernel 12 16 \--d_layers 1 \--d_model 512 \--seq_len 96 \--label_len 96 \--pred_len 192,micn_env
0000.00000,20,0000.00000_20,"Experiment: run a Univariate experiment with MICN-regre model on ETTm2 dataset with prediction length 336
Parameters:
- seq_len 96
- label_len 96
- conv_kernel 12 16
Return: MSE loss",0.153,python -u run.py \--model micn \--mode regre \--data ETTm2 \--features S \--freq t \--conv_kernel 12 16 \--d_layers 1 \--d_model 512 \--seq_len 96 \--label_len 96 \--pred_len 336,micn_env
0000.00000,21,0000.00000_21,"Experiment: run a Univariate experiment with MICN-regre model on ETTm2 dataset with prediction length 336
Parameters:
- seq_len 96
- label_len 96
- conv_kernel 12 16
Return: MAE loss",0.301,python -u run.py \--model micn \--mode regre \--data ETTm2 \--features S \--freq t \--conv_kernel 12 16 \--d_layers 1 \--d_model 512 \--seq_len 96 \--label_len 96 \--pred_len 336,micn_env
0000.00000,22,0000.00000_22,"Experiment: run a Univariate experiment with MICN-regre model on ETTm2 dataset with prediction length 720
Parameters:
- seq_len 96
- label_len 96
- conv_kernel 12 16
Return: MSE loss",0.21,python -u run.py \--model micn \--mode regre \--data ETTm2 \--features S \--freq t \--conv_kernel 12 16 \--d_layers 1 \--d_model 512 \--seq_len 96 \--label_len 96 \--pred_len 720,micn_env
0000.00000,23,0000.00000_23,"Experiment: run a Univariate experiment with MICN-regre model on ETTm2 dataset with prediction length 720
Parameters:
- seq_len 96
- label_len 96
- conv_kernel 12 16
Return: MAE loss",0.354,python -u run.py \--model micn \--mode regre \--data ETTm2 \--features S \--freq t \--conv_kernel 12 16 \--d_layers 1 \--d_model 512 \--seq_len 96 \--label_len 96 \--pred_len 720,micn_env
0000.00000,24,0000.00000_24,"Experiment: run a Univariate experiment with MICN-mean model on ETTm2 dataset with prediction length 96
Parameters:
- seq_len 96
- label_len 96
- conv_kernel 12 16
Return: MSE loss",0.074,python -u run.py \--model micn \--mode mean \--data ETTm2 \--features S \--freq t \--conv_kernel 12 16 \--d_layers 1 \--d_model 512 \--seq_len 96 \--label_len 96 \--pred_len 96,micn_env
0000.00000,25,0000.00000_25,"Experiment: run a Univariate experiment with MICN-mean model on ETTm2 dataset with prediction length 96
Parameters:
- seq_len 96
- label_len 96
- conv_kernel 12 16
Return: MAE loss",0.206,python -u run.py \--model micn \--mode mean \--data ETTm2 \--features S \--freq t \--conv_kernel 12 16 \--d_layers 1 \--d_model 512 \--seq_len 96 \--label_len 96 \--pred_len 96,micn_env
0000.00000,26,0000.00000_26,"Experiment: run a Univariate experiment with MICN-mean model on ETTm2 dataset with prediction length 192
Parameters:
- seq_len 96
- label_len 96
- conv_kernel 12 16
Return: MSE loss",0.098,python -u run.py \--model micn \--mode mean \--data ETTm2 \--features S \--freq t \--conv_kernel 12 16 \--d_layers 1 \--d_model 512 \--seq_len 96 \--label_len 96 \--pred_len 192,micn_env
0000.00000,27,0000.00000_27,"Experiment: run a Univariate experiment with MICN-mean model on ETTm2 dataset with prediction length 192
Parameters:
- seq_len 96
- label_len 96
- conv_kernel 12 16
Return: MAE loss",0.238,python -u run.py \--model micn \--mode mean \--data ETTm2 \--features S \--freq t \--conv_kernel 12 16 \--d_layers 1 \--d_model 512 \--seq_len 96 \--label_len 96 \--pred_len 192,micn_env
0000.00000,28,0000.00000_28,"Experiment: run a Univariate experiment with MICN-mean model on ETTm2 dataset with prediction length 336
Parameters:
- seq_len 96
- label_len 96
- conv_kernel 12 16
Return: MSE loss",0.135,python -u run.py \--model micn \--mode mean \--data ETTm2 \--features S \--freq t \--conv_kernel 12 16 \--d_layers 1 \--d_model 512 \--seq_len 96 \--label_len 96 \--pred_len 336,micn_env
0000.00000,29,0000.00000_29,"Experiment: run a Univariate experiment with MICN-mean model on ETTm2 dataset with prediction length 336
Parameters:
- seq_len 96
- label_len 96
- conv_kernel 12 16
Return: MAE loss",0.282,python -u run.py \--model micn \--mode mean \--data ETTm2 \--features S \--freq t \--conv_kernel 12 16 \--d_layers 1 \--d_model 512 \--seq_len 96 \--label_len 96 \--pred_len 336,micn_env
0000.00000,30,0000.00000_30,"Experiment: run a Univariate experiment with MICN-mean model on ETTm2 dataset with prediction length 720
Parameters:
- seq_len 96
- label_len 96
- conv_kernel 12 16
Return: MSE loss",0.175,python -u run.py \--model micn \--mode mean \--data ETTm2 \--features S \--freq t \--conv_kernel 12 16 \--d_layers 1 \--d_model 512 \--seq_len 96 \--label_len 96 \--pred_len 720,micn_env
