combined-id,all_correct
"2110.03485_5,395",TRUE
"2110.03485_395,398",TRUE
"2303.11932_265,245",TRUE
"2303.11932_265,33",TRUE
"2110.03485_5,398",TRUE
"2110.03485_398,401",FALSE
"2110.03485_399,421",FALSE
"2110.03485_398,421",FALSE
"2205.00048_45,52",FALSE
"2110.03485_399,400",FALSE
"2110.03485_5,400",FALSE
"2110.03485_400,418",FALSE
"2205.00048_27,53",FALSE
"2205.00048_52,46",FALSE
"2205.00048_48,52",FALSE
"2303.11932_265,180",FALSE
"2205.00048_45,46",FALSE
"2110.03485_5,401",FALSE
"2205.00048_27,45",FALSE
"2205.00048_27,52",FALSE
"2110.03485_420,421",FALSE
"2205.00048_48,46",FALSE
"2205.00048_48,45",FALSE
"2110.03485_5,421",FALSE
"2110.03485_395,401",FALSE
"2110.03485_400,421",FALSE
"2110.03485_398,399",FALSE
"2110.03485_398,418",FALSE
"2205.00048_53,52",FALSE
"2110.03485_399,420",FALSE
"2110.03485_399,401",FALSE
"2303.11932_33,180",FALSE
"2110.03485_418,420",FALSE
"2205.00048_48,53",FALSE
"2110.03485_398,400",FALSE
"2110.03485_395,421",FALSE
"2110.03485_400,420",FALSE
"2303.11932_245,180",FALSE
"2110.03485_401,418",FALSE
"2110.03485_5,418",FALSE
"2205.00048_53,46",FALSE
"2110.03485_398,420",FALSE
"2303.11932_245,33",FALSE
"2110.03485_395,400",FALSE
"2110.03485_395,420",FALSE
"2110.03485_395,418",FALSE
"2110.03485_401,421",FALSE
"2110.03485_401,420",FALSE
"2110.03485_399,418",FALSE
"2205.00048_53,45",FALSE
"2110.03485_395,399",FALSE
"2110.03485_5,399",FALSE
"2110.03485_418,421",FALSE
"2205.00048_27,46",FALSE
"2205.00048_48,27",FALSE
"2110.03485_5,420",FALSE
"2110.03485_400,401",FALSE
"2303.11932_9,14",TRUE
"2303.11932_13,14",TRUE
"2303.11932_10,14",TRUE
"2303.11932_1,9",TRUE
"2303.11932_2,8",FALSE
"2205.00048_4,5",FALSE
"2110.03485_2,4",FALSE
"2309.05569_3,9",FALSE
"2309.05569_2,5",FALSE
"2110.03485_3,4",FALSE
"2303.11932_1,8",FALSE
"2309.05569_0,3",FALSE
"2309.05569_4,9",FALSE
"2205.00048_1,4",FALSE
"2303.11932_3,9",FALSE
"2303.11932_0,8",FALSE
"2303.11932_6,13",FALSE
"2303.11932_1,5",FALSE
"2110.03485_0,3",FALSE
"2205.00048_0,6",FALSE
"2110.03485_0,2",FALSE
"2309.05569_6,9",FALSE
"2110.03485_1,4",FALSE
"2303.11932_8,10",FALSE
"2309.05569_0,7",FALSE
"2309.05569_3,7",FALSE
"2303.11932_5,13",FALSE
"2309.05569_0,2",FALSE
"2303.11932_0,11",FALSE
"2205.00048_1,5",FALSE
"2303.11932_5,7",FALSE
"2309.05569_0,9",FALSE
"2205.00048_3,5",FALSE
"2205.00048_3,4",FALSE
"2303.11932_4,10",FALSE
"2205.00048_0,1",FALSE
"2205.00048_0,7",
