combined-id,all_correct
2303.11932_114,TRUE
2303.11932_111,TRUE
2303.11932_104,TRUE
2303.11932_110,TRUE
2309.05569_11,TRUE
2309.05569_57,TRUE
2309.05569_54,TRUE
2309.05569_39,FALSE
2303.11932_438,FALSE
2303.11932_102,FALSE
2205.00048_21,FALSE
2309.05569_41,FALSE
2309.05569_56,FALSE
2303.11932_30,FALSE
2309.05569_52,FALSE
2303.11932_440,FALSE
2309.05569_36,FALSE
2309.05569_37,FALSE
2205.00048_8,FALSE
2309.05569_44,FALSE
2303.11932_234,FALSE
2309.05569_42,FALSE
2309.05569_47,FALSE
2303.11932_109,FALSE
2303.11932_107,FALSE
2303.11932_199,FALSE
2303.11932_108,FALSE
2309.05569_45,FALSE
2309.05569_40,FALSE
2110.03485_395,TRUE
2110.03485_418,TRUE
2303.11932_245,TRUE
2303.11932_265,TRUE
2110.03485_398,TRUE
2110.03485_5,TRUE
2205.00048_52,FALSE
2205.00048_53,FALSE
2110.03485_399,FALSE
2205.00048_27,FALSE
2205.00048_48,FALSE
2205.00048_45,FALSE
2110.03485_401,FALSE
2110.03485_421,FALSE
2205.00048_46,FALSE
2303.11932_33,FALSE
2110.03485_420,FALSE
2110.03485_400,FALSE
2303.11932_180,FALSE
2303.11932_3,TRUE
2205.00048_5,TRUE
2303.11932_12,TRUE
2303.11932_13,TRUE
2309.05569_7,TRUE
2303.11932_14,TRUE
2303.11932_9,TRUE
2303.11932_2,TRUE
2303.11932_10,TRUE
2309.05569_9,TRUE
2205.00048_3,TRUE
2205.00048_4,TRUE
2303.11932_11,TRUE
2303.11932_1,TRUE
2110.03485_4,FALSE
2303.11932_7,FALSE
2309.05569_1,FALSE
2309.05569_4,FALSE
2205.00048_0,FALSE
2303.11932_0,FALSE
2309.05569_3,FALSE
2205.00048_2,FALSE
2303.11932_8,FALSE
2110.03485_3,FALSE
2205.00048_6,FALSE
2309.05569_5,FALSE
2303.11932_5,FALSE
2303.11932_6,FALSE
2303.11932_4,FALSE
2309.05569_2,FALSE
2309.05569_6,FALSE
2110.03485_2,FALSE
2110.03485_0,FALSE
2309.05569_0,FALSE
2205.00048_1,FALSE
2110.03485_1,FALSE
