combined-id,all_correct,step
2309.05569_36,TRUE,6
2309.05569_11,TRUE,6
2309.05569_54,TRUE,5
2303.11932_110,TRUE,4
2309.05569_44,TRUE,6
2303.11932_111,TRUE,4
2303.11932_104,FALSE,13
2309.05569_40,FALSE,12
2303.11932_440,FALSE,49
2309.05569_41,FALSE,49
2309.05569_56,FALSE,49
2303.11932_109,FALSE,8
2309.05569_37,FALSE,5
2303.11932_438,FALSE,47
2303.11932_114,FALSE,35
2309.05569_39,FALSE,49
2309.05569_47,FALSE,49
2303.11932_199,FALSE,10
2309.05569_45,FALSE,4
2303.11932_107,FALSE,10
2309.05569_42,FALSE,28
2309.05569_52,FALSE,4
2205.00048_8,FALSE,49
2303.11932_102,FALSE,41
2303.11932_108,FALSE,15
2309.05569_57,FALSE,4
2303.11932_30,FALSE,49
2303.11932_234,,23
2205.00048_21,,39
2205.00048_6,FALSE,49
2205.00048_5,FALSE,6
2205.00048_4,FALSE,7
2205.00048_3,TRUE,4
2205.00048_2,FALSE,49
2205.00048_1,FALSE,5
2205.00048_0,FALSE,5
2110.03485_4,FALSE,32
2110.03485_3,FALSE,17
2110.03485_2,TRUE,26
2110.03485_1,FALSE,49
2110.03485_0,FALSE,49
2303.11932_14,FALSE,15
2303.11932_13,TRUE,6
2303.11932_12,FALSE,9
2303.11932_11,TRUE,5
2303.11932_10,FALSE,13
2303.11932_9,TRUE,13
2303.11932_8,FALSE,7
2303.11932_7,TRUE,5
2303.11932_6,FALSE,8
2303.11932_5,TRUE,7
2303.11932_4,FALSE,9
2303.11932_3,FALSE,9
2303.11932_2,FALSE,19
2303.11932_1,TRUE,10
2303.11932_0,TRUE,9
2309.05569_9,FALSE,4
2309.05569_7,FALSE,6
2309.05569_6,FALSE,49
2309.05569_5,FALSE,7
2309.05569_4,FALSE,6
2309.05569_3,FALSE,6
2309.05569_2,FALSE,16
2309.05569_1,FALSE,49
2309.05569_0,FALSE,49
2303.11932_265,TRUE,4
2110.03485_398,TRUE,4
2205.00048_45,TRUE,4
2110.03485_395,TRUE,6
2205.00048_27,TRUE,20
2303.11932_33,TRUE,4
2110.03485_5,TRUE,7
2110.03485_421,FALSE,14
2110.03485_399,FALSE,49
2303.11932_245,FALSE,10
2205.00048_48,FALSE,49
2205.00048_53,FALSE,6
2110.03485_401,FALSE,49
2110.03485_420,FALSE,49
2205.00048_46,FALSE,49
2303.11932_180,FALSE,49
2110.03485_400,FALSE,49
2110.03485_418,FALSE,12
2205.00048_52,,27
NULL,FALSE,15
