"Name","agent","all_correct","combined-id","agent_output","step","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","_tags","combined_id","command","environment","environtment","k","lookback","method","model-engine","model","name","parameters._tags","parameters.agent","parameters.agents","parameters.combined-ids","parameters.combined_ids","parameters.environment","parameters.environtment","parameters.k","parameters.lookback","parameters.memory","parameters.memorys","parameters.model-engine","parameters.model","code-retrieval","max-completion-tokens","parameters.code-retrieval","parameters.code-retrievals","parameters.max-completion-tokens","parameters.max-completion-tokenss","parameters.model-engines","parameters.reasoning-efforts","parameters.retrieval","parameters.retrievals","reasoning-effort","retrieval","completion_tokens","compute_cost","compute_time","correct","correct_count","cost","experiment_description","func_ids","funcs_to_block","gold_output","mode","paper_id","path","prompt_tokens","refsol","split","reasoning_tokens","losses","memory"
"worthy-sweep-49","MLAgentBench","true","2303.11932_3","{""Experiment 1"": {""IoU"": 0.0009373231591547291}, ""Experiment 2"": {""IoU"": 0.09071275617131902}, ""Experiment 3"": {""IoU"": 0.0012834579012913029}}","13","","finished","-","","2303.11932_3, MLAgentBench, SlidingWindow, agent_architecture, gpt-4o","2025-04-03T18:05:39.000Z","327","gu895ehe","agent_architecture","","","MLAgentBench","","","1","","gpt-4o","","","","","","","","","","","","","","","","","","","","","","","","","","","","10827","0.2531250000000001","167","{'Experiment 1': True, 'Experiment 2': True, 'Experiment 3': True}","3","","","","","{'Experiment 1': {'IoU': 0.000950343637027683}, 'Experiment 2': {'IoU': 0.09061482887766313}, 'Experiment 3': {'IoU': 0.001294992995005883}}","","","","66262","","","","{'Experiment 1': 0.013700810281296789, 'Experiment 2': 0.001080698323539276, 'Experiment 3': 0.008907456456571617}","SlidingWindow"
"mild-sweep-45","MLAgentBench","true","2309.05569_9","{""Experiment 1"": {""total loss"": 0.79258}, ""Experiment 2"": {""total loss"": 0.76919}, ""Experiment 3"": {""total loss"": 0.59815}, ""Experiment 4"": {""total loss"": 0.78735}, ""Experiment 5"": {""total loss"": 0.72689}, ""Experiment 6"": {""total loss"": 0.74395}, ""Experiment 7"": {""total loss"": 0.78804}, ""Experiment 8"": {""total loss"": 0.78804}, ""Experiment 9"": {""total loss"": 0.87189}, ""Experiment 10"": {""total loss"": 0.75746}}","8","","finished","-","","2309.05569_9, MLAgentBench, SlidingWindow, agent_architecture, gpt-4o","2025-04-03T17:50:15.000Z","294","gu895ehe","agent_architecture","","","MLAgentBench","","","1","","gpt-4o","","","","","","","","","","","","","","","","","","","","","","","","","","","","4411","0.3157675000000001","193","{'Experiment 1': True, 'Experiment 2': True, 'Experiment 3': True, 'Experiment 4': True, 'Experiment 5': True, 'Experiment 6': True, 'Experiment 7': True, 'Experiment 8': True, 'Experiment 9': True, 'Experiment 10': True}","10","","","","","{'Experiment 1': {'total loss': 0.79258}, 'Experiment 2': {'total loss': 0.76919}, 'Experiment 3': {'total loss': 0.59815}, 'Experiment 4': {'total loss': 0.78735}, 'Experiment 5': {'total loss': 0.72689}, 'Experiment 6': {'total loss': 0.74395}, 'Experiment 7': {'total loss': 0.78478}, 'Experiment 8': {'total loss': 0.78478}, 'Experiment 9': {'total loss': 0.87189}, 'Experiment 10': {'total loss': 0.75746}}","","","","117623","","","","{'Experiment 1': 0.0, 'Experiment 2': 0.0, 'Experiment 3': 0.0, 'Experiment 4': 0.0, 'Experiment 5': 0.0, 'Experiment 6': 0.0, 'Experiment 7': 0.004154030428909923, 'Experiment 8': 0.004154030428909923, 'Experiment 9': 0.0, 'Experiment 10': 0.0}","SlidingWindow"
"azure-sweep-59","MLAgentBench","true","2303.11932_13","{""Experiment 1"": {""IoU"": 0.0013277327791981336}, ""Experiment 2"": {""IoU"": 0.0013203138081828514}, ""Experiment 3"": {""IoU"": 0.0013139990531691671}, ""Experiment 4"": {""IoU"": 0.0012745322769777162}}","18","","finished","-","","2303.11932_13, MLAgentBench, SlidingWindow, agent_architecture, gpt-4o","2025-04-03T18:53:55.000Z","509","gu895ehe","agent_architecture","","","MLAgentBench","","","1","","gpt-4o","","","","","","","","","","","","","","","","","","","","","","","","","","","","16412","0.4853700000000001","176","{'Experiment 1': True, 'Experiment 2': True, 'Experiment 3': True, 'Experiment 4': True}","4","","","","","{'Experiment 1': {'IoU': 0.0013228687362359965}, 'Experiment 2': {'IoU': 0.001294992995005883}, 'Experiment 3': {'IoU': 0.001260498017262972}, 'Experiment 4': {'IoU': 0.0012804952784324249}}","","","","141876","","","","{'Experiment 1': 0.003676890101717099, 'Experiment 2': 0.01955285725453159, 'Experiment 3': 0.04244436339722819, 'Experiment 4': 0.004656793004351028}","SlidingWindow"
"crisp-sweep-68","MLAgentBench","true","2205.00048_2","{""Experiment 1"": {""IIF"": [0.00022957766970338144], ""IGF"": [6.531420796327108e-06], ""GIF"": [1.5155270864260923e-05], ""GGF"": [5.865956097793335e-07], ""AIF"": [1.3747849386984705e-05], ""AGF"": [3.417965144382433e-07], ""IID"": [0.00012941373053020611], ""IGD"": [2.6309788544084347e-06], ""GID"": [2.9055386641092446e-05], ""GGD"": [1.5267569462768894e-06], ""AID"": [2.832898259643734e-05], ""AGD"": [1.471852226331411e-06], ""IIR"": [3.843119017823239e-06], ""IGR"": [8.527492939359041e-07], ""GIR"": [1.9742164624446923e-05], ""GGR"": [1.501924858720956e-06], ""AIR"": [2.031354493845111e-05], ""AGR"": [1.693986814130217e-06]}, ""Experiment 2"": {""IIF"": [0.00022957766970338144], ""IGF"": [6.531420796327108e-06], ""GIF"": [1.7013274276116187e-05], ""GGF"": [6.076624364512684e-07], ""AIF"": [1.3747849386984705e-05], ""AGF"": [3.417965144382433e-07], ""IID"": [0.00012941373053020611], ""IGD"": [2.6309788544084347e-06], ""GID"": [3.0067999447094528e-05], ""GGD"": [1.4998125126298506e-06], ""AID"": [2.832898259643734e-05], ""AGD"": [1.471852226331411e-06], ""IIR"": [3.843119017823239e-06], ""IGR"": [8.527492939359041e-07], ""GIR"": [1.9274343908753687e-05], ""GGR"": [1.6062016369437721e-06], ""AIR"": [2.031354493845111e-05], ""AGR"": [1.693986814130217e-06]}, ""Experiment 3"": {""IIF"": [0.00022484007768105817], ""IGF"": [3.082074136416555e-06], ""GIF"": [9.181278104732387e-07], ""GGF"": [7.469683296964291e-08], ""AIF"": [7.250710559713114e-07], ""AGF"": [6.663700948973803e-08], ""IID"": [0.00012968000016872448], ""IGD"": [3.569623602862792e-06], ""GID"": [8.174601999868197e-06], ""GGD"": [8.250136749057006e-07], ""AID"": [7.978072339059405e-06], ""AGD"": [8.621028003209006e-07], ""IIR"": [8.846980678664919e-06], ""IGR"": [5.240740702300814e-06], ""GIR"": [1.309852303701036e-05], ""GGR"": [1.3120803641594582e-06], ""AIR"": [1.298541301208657e-05], ""AGR"": [1.3593968930682123e-06]}, ""Experiment 4"": {""IIF"": [0.00022484007768105817], ""IGF"": [3.082074136416555e-06], ""GIF"": [1.3634435504785814e-06], ""GGF"": [7.798720588589249e-08], ""AIF"": [7.250710559713114e-07], ""AGF"": [6.663700948973803e-08], ""IID"": [0.00012968000016872448], ""IGD"": [3.569623602862792e-06], ""GID"": [8.315038120896211e-06], ""GGD"": [9.70671953612065e-07], ""AID"": [7.978072339059405e-06], ""AGD"": [8.621028003209006e-07], ""IIR"": [8.846980678664919e-06], ""IGR"": [5.240740702300814e-06], ""GIR"": [1.3171213308192974e-05], ""GGR"": [1.6067363084913638e-06], ""AIR"": [1.298541301208657e-05], ""AGR"": [1.3593968930682123e-06]}}","6","","finished","-","","2205.00048_2, MLAgentBench, SlidingWindow, agent_architecture, gpt-4o","2025-04-03T19:46:09.000Z","523","gu895ehe","agent_architecture","","","MLAgentBench","","","1","","gpt-4o","","","","","","","","","","","","","","","","","","","","","","","","","","","","8415","0.26042","429","{'Experiment 1': True, 'Experiment 2': True, 'Experiment 3': True, 'Experiment 4': True}","4","","","","","{'Experiment 1': {'IIF': [0.00022957766970338144], 'IGF': [6.531420796327108e-06], 'GIF': [1.5155270864260923e-05], 'GGF': [5.865956097793335e-07], 'AIF': [1.3747849386984705e-05], 'AGF': [3.417965144382433e-07], 'IID': [0.00012941373053020611], 'IGD': [2.6309788544084347e-06], 'GID': [2.9055386641092446e-05], 'GGD': [1.5267569462768894e-06], 'AID': [2.832898259643734e-05], 'AGD': [1.471852226331411e-06], 'IIR': [3.843119017823239e-06], 'IGR': [8.527492939359041e-07], 'GIR': [1.9742164624446923e-05], 'GGR': [1.501924858720956e-06], 'AIR': [2.031354493845111e-05], 'AGR': [1.693986814130217e-06]}, 'Experiment 2': {'IIF': [0.00022957766970338144], 'IGF': [6.531420796327108e-06], 'GIF': [1.7013274276116187e-05], 'GGF': [6.076624364512684e-07], 'AIF': [1.3747849386984705e-05], 'AGF': [3.417965144382433e-07], 'IID': [0.00012941373053020611], 'IGD': [2.6309788544084347e-06], 'GID': [3.0067999447094528e-05], 'GGD': [1.4998125126298506e-06], 'AID': [2.832898259643734e-05], 'AGD': [1.471852226331411e-06], 'IIR': [3.843119017823239e-06], 'IGR': [8.527492939359041e-07], 'GIR': [1.9274343908753687e-05], 'GGR': [1.6062016369437721e-06], 'AIR': [2.031354493845111e-05], 'AGR': [1.693986814130217e-06]}, 'Experiment 3': {'IIF': [0.00022484007768105817], 'IGF': [3.082074136416555e-06], 'GIF': [9.181278104732387e-07], 'GGF': [7.469683296964291e-08], 'AIF': [7.250710559713114e-07], 'AGF': [6.663700948973803e-08], 'IID': [0.00012968000016872448], 'IGD': [3.569623602862792e-06], 'GID': [8.174601999868197e-06], 'GGD': [8.250136749057006e-07], 'AID': [7.978072339059405e-06], 'AGD': [8.621028003209006e-07], 'IIR': [8.846980678664919e-06], 'IGR': [5.240740702300814e-06], 'GIR': [1.309852303701036e-05], 'GGR': [1.3120803641594582e-06], 'AIR': [1.298541301208657e-05], 'AGR': [1.3593968930682123e-06]}, 'Experiment 4': {'IIF': [0.00022484007768105817], 'IGF': [3.082074136416555e-06], 'GIF': [1.3634435504785814e-06], 'GGF': [7.798720588589249e-08], 'AIF': [7.250710559713114e-07], 'AGF': [6.663700948973803e-08], 'IID': [0.00012968000016872448], 'IGD': [3.569623602862792e-06], 'GID': [8.315038120896211e-06], 'GGD': [9.70671953612065e-07], 'AID': [7.978072339059405e-06], 'AGD': [8.621028003209006e-07], 'IIR': [8.846980678664919e-06], 'IGR': [5.240740702300814e-06], 'GIR': [1.3171213308192974e-05], 'GGR': [1.6067363084913638e-06], 'AIR': [1.298541301208657e-05], 'AGR': [1.3593968930682123e-06]}}","","","","81004","","","","{'Experiment 1': 0.0, 'Experiment 2': 0.0, 'Experiment 3': 0.0, 'Experiment 4': 0.0}","SlidingWindow"
"celestial-sweep-55","MLAgentBench","true","2303.11932_9","{""Experiment 1"": {""IoU"": 0.0009466002239045898}, ""Experiment 2"": {""IoU"": 0.0013256069323455077}, ""Experiment 3"": {""IoU"": 0.0009452561596681802}, ""Experiment 4"": {""IoU"": 0.0009735516681967755}, ""Experiment 5"": {""IoU"": 0.0009431773081091822}}","14","","finished","-","","2303.11932_9, MLAgentBench, SlidingWindow, agent_architecture, gpt-4o","2025-04-03T18:39:04.000Z","373","gu895ehe","agent_architecture","","","MLAgentBench","","","1","","gpt-4o","","","","","","","","","","","","","","","","","","","","","","","","","","","","10151","0.3082675","131","{'Experiment 1': True, 'Experiment 2': True, 'Experiment 3': True, 'Experiment 4': True, 'Experiment 5': True}","5","","","","","{'Experiment 1': {'IoU': 0.0009487731606616132}, 'Experiment 2': {'IoU': 0.0013228687362359965}, 'Experiment 3': {'IoU': 0.000950343637027683}, 'Experiment 4': {'IoU': 0.0009427296271823229}, 'Experiment 5': {'IoU': 0.0009435898472335024}}","","","","92367","","","","{'Experiment 1': 0.0022902595131466252, 'Experiment 2': 0.0020698925256199398, 'Experiment 3': 0.005353302912001942, 'Experiment 4': 0.032694465227082165, 'Experiment 5': 0.0004372017413389652}","SlidingWindow"
"genial-sweep-42","MLAgentBench","true","2309.05569_5","{""Experiment 1"": {""total loss"": 0.79258}, ""Experiment 2"": {""total loss"": 0.76919}, ""Experiment 3"": {""total loss"": 0.59815}, ""Experiment 4"": {""total loss"": 0.78735}, ""Experiment 5"": {""total loss"": 0.72689}, ""Experiment 6"": {""total loss"": 0.74395}, ""Experiment 7"": {""total loss"": 0.78804}, ""Experiment 8"": {""total loss"": 0.78478}, ""Experiment 9"": {""total loss"": 0.87189}, ""Experiment 10"": {""total loss"": 0.75746}}","7","","finished","-","","2309.05569_5, MLAgentBench, SlidingWindow, agent_architecture, gpt-4o","2025-04-03T17:31:38.000Z","402","gu895ehe","agent_architecture","","","MLAgentBench","","","1","","gpt-4o","","","","","","","","","","","","","","","","","","","","","","","","","","","","8882","0.3822875000000001","222","{'Experiment 1': True, 'Experiment 2': True, 'Experiment 3': True, 'Experiment 4': True, 'Experiment 5': True, 'Experiment 6': True, 'Experiment 7': True, 'Experiment 8': True, 'Experiment 9': True, 'Experiment 10': True}","10","","","","","{'Experiment 1': {'total loss': 0.79258}, 'Experiment 2': {'total loss': 0.76919}, 'Experiment 3': {'total loss': 0.59815}, 'Experiment 4': {'total loss': 0.78735}, 'Experiment 5': {'total loss': 0.72689}, 'Experiment 6': {'total loss': 0.74395}, 'Experiment 7': {'total loss': 0.78478}, 'Experiment 8': {'total loss': 0.78478}, 'Experiment 9': {'total loss': 0.87189}, 'Experiment 10': {'total loss': 0.75746}}","","","","127755","","","","{'Experiment 1': 0.0, 'Experiment 2': 0.0, 'Experiment 3': 0.0, 'Experiment 4': 0.0, 'Experiment 5': 0.0, 'Experiment 6': 0.0, 'Experiment 7': 0.004154030428909923, 'Experiment 8': 0.0, 'Experiment 9': 0.0, 'Experiment 10': 0.0}","SlidingWindow"
"fresh-sweep-47","MLAgentBench","true","2303.11932_1","{""Experiment 1"": {""IoU"": 0.0009495855071154671}, ""Experiment 2"": {""IoU"": 0.09099335983349495}, ""Experiment 3"": {""IoU"": 0.001292632721369722}}","22","","finished","-","","2303.11932_1, MLAgentBench, SlidingWindow, agent_architecture, gpt-4o","2025-04-03T17:58:29.000Z","428","gu895ehe","agent_architecture","","","MLAgentBench","","","1","","gpt-4o","","","","","","","","","","","","","","","","","","","","","","","","","","","","17084","0.5108899999999998","149","{'Experiment 1': True, 'Experiment 2': True, 'Experiment 3': True}","3","","","","","{'Experiment 1': {'IoU': 0.0009435898472335024}, 'Experiment 2': {'IoU': 0.09111485122946014}, 'Experiment 3': {'IoU': 0.0012804952784324249}}","","","","149460","","","","{'Experiment 1': 0.0063540953726274885, 'Experiment 2': 0.0013333874151781608, 'Experiment 3': 0.009478709638160969}","SlidingWindow"
"chocolate-sweep-50","MLAgentBench","true","2303.11932_4","{""Experiment 1"": {""IoU"": 0.0009529333573342368}, ""Experiment 2"": {""IoU"": 0.0907008118696094}, ""Experiment 3"": {""IoU"": 0.0013241376488319172}, ""Experiment 4"": {""IoU"": 0.0009583708745781339}, ""Experiment 5"": {""IoU"": 0.0009424235820286133}, ""Experiment 6"": {""IoU"": 0.0009425824060622873}, ""Experiment 7"": {""IoU"": 0.09064680866926303}, ""Experiment 8"": {""IoU"": 0.0911040173661884}, ""Experiment 9"": {""IoU"": 0.09112435840219965}, ""Experiment 10"": {""IoU"": 0.0012991648274272359}, ""Experiment 11"": {""IoU"": 0.0012744016513142225}, ""Experiment 12"": {""IoU"": 0.0012811156914092582}}","5","","finished","-","","2303.11932_4, MLAgentBench, SlidingWindow, agent_architecture, gpt-4o","2025-04-03T18:11:09.000Z","333","gu895ehe","agent_architecture","","","MLAgentBench","","","1","","gpt-4o","","","","","","","","","","","","","","","","","","","","","","","","","","","","5306","0.19165999999999997","234","{'Experiment 1': True, 'Experiment 2': True, 'Experiment 3': True, 'Experiment 4': True, 'Experiment 5': True, 'Experiment 6': True, 'Experiment 7': True, 'Experiment 8': True, 'Experiment 9': True, 'Experiment 10': True, 'Experiment 11': True, 'Experiment 12': True}","12","","","","","{'Experiment 1': {'IoU': 0.0009487731606616132}, 'Experiment 2': {'IoU': 0.09065141693255822}, 'Experiment 3': {'IoU': 0.0013228687362359965}, 'Experiment 4': {'IoU': 0.000950343637027683}, 'Experiment 5': {'IoU': 0.0009427296271823229}, 'Experiment 6': {'IoU': 0.0009435898472335024}, 'Experiment 7': {'IoU': 0.09061482887766313}, 'Experiment 8': {'IoU': 0.09164573186628844}, 'Experiment 9': {'IoU': 0.09111485122946014}, 'Experiment 10': {'IoU': 0.001294992995005883}, 'Experiment 11': {'IoU': 0.001260498017262972}, 'Experiment 12': {'IoU': 0.0012804952784324249}}","","","","61776","","","","{'Experiment 1': 0.004384816987995918, 'Experiment 2': 0.0005448887477173047, 'Experiment 3': 0.0009592127783828373, 'Experiment 4': 0.008446668381510014, 'Experiment 5': 0.0003246372500504921, 'Experiment 6': 0.0010676685152652375, 'Experiment 7': 0.0003529200683375268, 'Experiment 8': 0.005910962671894065, 'Experiment 9': 0.00010434273459511638, 'Experiment 10': 0.003221509643250151, 'Experiment 11': 0.011030270465193342, 'Experiment 12': 0.000484510163592947}","SlidingWindow"
"fragrant-sweep-51","MLAgentBench","true","2303.11932_5","{""Experiment 1"": {""IoU"": 0.0009527845524341197}, ""Experiment 2"": {""IoU"": 0.0907114065235314}, ""Experiment 3"": {""IoU"": 0.0013279718973419035}, ""Experiment 4"": {""IoU"": 0.000950636886850239}, ""Experiment 5"": {""IoU"": 0.0009428227961926985}, ""Experiment 6"": {""IoU"": 0.0009428561748114963}, ""Experiment 7"": {""IoU"": 0.09068528171741118}, ""Experiment 8"": {""IoU"": 0.09115155145194037}, ""Experiment 9"": {""IoU"": 0.09108342305143406}, ""Experiment 10"": {""IoU"": 0.0013064521957485108}, ""Experiment 11"": {""IoU"": 0.0012865810311221792}, ""Experiment 12"": {""IoU"": 0.0012777534025773117}}","8","","finished","-","","2303.11932_5, MLAgentBench, SlidingWindow, agent_architecture, gpt-4o","2025-04-03T18:13:14.000Z","389","gu895ehe","agent_architecture","","","MLAgentBench","","","1","","gpt-4o","","","","","","","","","","","","","","","","","","","","","","","","","","","","6479","0.2204125","251","{'Experiment 1': True, 'Experiment 2': True, 'Experiment 3': True, 'Experiment 4': True, 'Experiment 5': True, 'Experiment 6': True, 'Experiment 7': True, 'Experiment 8': True, 'Experiment 9': True, 'Experiment 10': True, 'Experiment 11': True, 'Experiment 12': True}","12","","","","","{'Experiment 1': {'IoU': 0.0009487731606616132}, 'Experiment 2': {'IoU': 0.09065141693255822}, 'Experiment 3': {'IoU': 0.0013228687362359965}, 'Experiment 4': {'IoU': 0.000950343637027683}, 'Experiment 5': {'IoU': 0.0009427296271823229}, 'Experiment 6': {'IoU': 0.0009435898472335024}, 'Experiment 7': {'IoU': 0.09061482887766313}, 'Experiment 8': {'IoU': 0.09164573186628844}, 'Experiment 9': {'IoU': 0.09111485122946014}, 'Experiment 10': {'IoU': 0.001294992995005883}, 'Experiment 11': {'IoU': 0.001260498017262972}, 'Experiment 12': {'IoU': 0.0012804952784324249}}","","","","73641","","","","{'Experiment 1': 0.004227977707241676, 'Experiment 2': 0.000661761205760302, 'Experiment 3': 0.0038576473735612276, 'Experiment 4': 0.00030857240594908865, 'Experiment 5': 9.882898308192158e-05, 'Experiment 6': 0.0007775331879175993, 'Experiment 7': 0.0007774979064758171, 'Experiment 8': 0.005392290554993638, 'Experiment 9': 0.0003449292579859729, 'Experiment 10': 0.00884885152801592, 'Experiment 11': 0.020692625852632103, 'Experiment 12': 0.002141261979872155}","SlidingWindow"
"rich-sweep-46","MLAgentBench","true","2303.11932_0","{""Experiment 1"": {""IoU"": 0.0009330241847610757}, ""Experiment 2"": {""IoU"": 0.0932085534657698}, ""Experiment 3"": {""IoU"": 0.0012832794166873402}}","14","","finished","-","","2303.11932_0, MLAgentBench, SlidingWindow, agent_architecture, gpt-4o","2025-04-03T17:55:14.000Z","298","gu895ehe","agent_architecture","","","MLAgentBench","","","1","","gpt-4o","","","","","","","","","","","","","","","","","","","","","","","","","","","","9396","0.34167499999999995","111","{'Experiment 1': True, 'Experiment 2': True, 'Experiment 3': True}","3","","","","","{'Experiment 1': {'IoU': 0.0009487731606616132}, 'Experiment 2': {'IoU': 0.09065141693255822}, 'Experiment 3': {'IoU': 0.0013228687362359965}}","","","","106958","","","","{'Experiment 1': 0.016599305875764078, 'Experiment 2': 0.02820845630150494, 'Experiment 3': 0.029926869132383512}","SlidingWindow"
