combined-id,No 1,No 2,No 3,Full 1,Full 2,Full 3
"2205.00048_0,1",,,,,,
"2205.00048_0,2",,,,,,
"2205.00048_0,3",,,,,,
"2205.00048_0,4",,,,,,
"2205.00048_0,5",,,,,,
"2205.00048_1,2",,,,,,
"2205.00048_1,3",,,x,,x,
"2205.00048_1,4",,,,,,
"2205.00048_1,5",,,,,,
"2205.00048_2,4",,,,,x,x
"2205.00048_2,5",,,,,,
"2205.00048_3,4",,,,,,
"2205.00048_3,5",,,,,,
"2205.00048_4,5",,,,,,
"2303.11932_0,1",x,x,x,x,x,
"2303.11932_0,10",,,,,,
"2303.11932_0,11",,,x,,,
"2303.11932_0,12",,,,,,
"2303.11932_0,13",,x,,,,
"2303.11932_0,14",,,,,,
"2303.11932_0,2",,x,x,x,,x
"2303.11932_0,9",,,,,x,
"2303.11932_1,10",,,,x,,
"2303.11932_1,12",,,,,,
"2303.11932_1,2",x,,,x,x,
"2303.11932_1,9",x,x,x,x,,
"2303.11932_10,11",,,,,,
"2303.11932_10,12",,,,,,
"2303.11932_10,13",,,,,,
"2303.11932_10,14",,,x,,,
"2303.11932_11,12",,,,,,
"2303.11932_11,14",x,,,x,,
"2303.11932_12,13",,,,,,
"2303.11932_12,14",,x,,,,x
"2303.11932_13,14",,,,x,x,
"2303.11932_2,10",,,,x,x,
"2303.11932_2,11",x,,x,x,,x
"2303.11932_2,12",,,,,,x
"2303.11932_2,13",,,,,,
"2303.11932_2,14",,,,,,
"2303.11932_2,9",,,,,,
"2303.11932_9,10",,,,,,
"2303.11932_9,11",,x,x,,x,x
"2303.11932_9,12",,,,,,
"2303.11932_9,14",x,,,x,,
"2309.05569_2,4",,,,,,
