combined-id,no 1,no 2,no 3,full 1,full 2,full 3
"2205.00048_0,1,2",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2205.00048_0,1,4",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2205.00048_0,1,5",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2205.00048_0,2,4",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2205.00048_0,2,5",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2205.00048_1,2,4",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2205.00048_1,2,5",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"2205.00048_2,4,5",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2303.11932_0,1,10",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"2303.11932_0,1,2",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
"2303.11932_0,1,9",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"2303.11932_0,2,10",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"2303.11932_0,2,9",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"2303.11932_0,9,10",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2303.11932_1,2,10",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2303.11932_1,2,9",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2303.11932_1,9,10",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2303.11932_2,9,10",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
