combined-id,all_correct
"2309.05569_41,44,11",FALSE
"2309.05569_41,44,52",FALSE
"2309.05569_41,44,47",FALSE
"2309.05569_41,44,45",FALSE
"2309.05569_41,42,11",FALSE
"2309.05569_41,42,45",FALSE
"2309.05569_41,42,44",FALSE
"2309.05569_40,52,11",FALSE
"2309.05569_40,47,11",FALSE
"2309.05569_40,47,52",FALSE
"2309.05569_40,45,11",FALSE
"2309.05569_54,41,11",FALSE
"2309.05569_54,41,52",FALSE
"2309.05569_54,41,44",FALSE
"2309.05569_54,41,42",FALSE
"2309.05569_54,40,11",FALSE
"2309.05569_54,40,52",FALSE
"2309.05569_54,40,47",FALSE
"2309.05569_54,40,45",FALSE
"2309.05569_54,40,44",FALSE
"2309.05569_54,40,42",FALSE
"2309.05569_54,40,41",FALSE
"2303.11932_104,108,438",FALSE
"2303.11932_104,108,440",FALSE
"2303.11932_104,108,234",FALSE
"2303.11932_104,108,199",FALSE
"2303.11932_265,245,33",TRUE
"2205.00048_48,53,52",FALSE
"2303.11932_265,245,180",FALSE
"2110.03485_5,395,399",FALSE
"2110.03485_5,399,401",FALSE
"2205.00048_48,45,46",FALSE
"2110.03485_5,398,400",FALSE
"2303.11932_245,33,180",FALSE
"2110.03485_5,399,400",FALSE
"2110.03485_5,398,399",FALSE
"2110.03485_5,399,418",FALSE
"2110.03485_5,395,398",FALSE
"2205.00048_48,53,45",FALSE
"2110.03485_5,395,421",FALSE
"2110.03485_5,398,418",FALSE
"2205.00048_48,27,52",FALSE
"2110.03485_5,398,421",FALSE
"2110.03485_5,395,400",FALSE
"2205.00048_48,27,46",FALSE
"2205.00048_48,52,46",FALSE
"2110.03485_5,398,401",FALSE
"2110.03485_5,395,401",FALSE
"2205.00048_48,27,53",FALSE
"2303.11932_265,33,180",FALSE
"2205.00048_48,53,46",FALSE
"2110.03485_5,395,420",FALSE
"2110.03485_5,395,418",FALSE
"2205.00048_48,45,52",FALSE
"2110.03485_5,398,420",FALSE
"2205.00048_48,27,45",FALSE
"2303.11932_5,11,13",TRUE
"2303.11932_5,9,13",TRUE
"2205.00048_0,1,3",TRUE
"2110.03485_0,1,2",FALSE
"2303.11932_6,13,14",FALSE
"2303.11932_0,1,5",FALSE
"2309.05569_2,5,6",FALSE
"2303.11932_2,6,11",FALSE
"2303.11932_0,9,13",FALSE
"2303.11932_0,6,10",FALSE
"2303.11932_1,8,14",FALSE
"2303.11932_1,4,8",FALSE
"2205.00048_1,3,6",FALSE
"2303.11932_4,8,14",FALSE
"2205.00048_1,3,5",FALSE
"2309.05569_0,1,2",FALSE
"2110.03485_0,2,4",FALSE
"2309.05569_0,2,6",FALSE
"2303.11932_5,6,14",FALSE
"2309.05569_1,2,6",FALSE
"2303.11932_4,7,8",FALSE
"2110.03485_1,2,4",FALSE
"2110.03485_1,3,4",FALSE
"2205.00048_0,2,4",FALSE
"2309.05569_0,1,5",FALSE
"2303.11932_3,4,10",FALSE
"2303.11932_2,6,13",FALSE
"2309.05569_2,6,9",FALSE
"2309.05569_1,3,6",FALSE
"2205.00048_3,4,6",FALSE
"2303.11932_1,9,13",FALSE
"2110.03485_2,3,4",FALSE
"2205.00048_1,4,5",FALSE
"2309.05569_1,2,5",FALSE
"2205.00048_0,2,3",FALSE
"2309.05569_2,3,9",FALSE
"2205.00048_3,6,7",
"2205.00048_3,5,7",
"2205.00048_0,6,7",
"2205.00048_1,4,7",
"2205.00048_4,5,7",
"2205.00048_1,6,7",
