"Name","agent","combined-id","memory","all_correct","agent_output","step","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","_tags","combined_id","command","environment","environtment","lookback","method","model-engine","model","name","parameters._tags","parameters.agent","parameters.agents","parameters.combined-ids","parameters.combined_ids","parameters.environment","parameters.environtment","parameters.lookback","parameters.memory","parameters.memorys","parameters.model-engine","parameters.model","code-retrieval","k","max-completion-tokens","parameters.code-retrieval","parameters.code-retrievals","parameters.k","parameters.max-completion-tokens","parameters.max-completion-tokenss","parameters.model-engines","parameters.reasoning-efforts","parameters.retrieval","parameters.retrievals","reasoning-effort","retrieval","completion_tokens","compute_cost","compute_time","correct","correct_count","cost","experiment_description","func_ids","funcs_to_block","gold_output","mode","paper_id","path","prompt_tokens","refsol","split","reasoning_tokens","losses"
"electric-sweep-176","ReAct","2303.11932_13","SlidingWindow","true","{""Experiment 1"": {""IoU"": 0.0013268200944553544}, ""Experiment 2"": {""IoU"": 0.0012975246283577946}, ""Experiment 3"": {""IoU"": 0.0012625222697561884}, ""Experiment 4"": {""IoU"": 0.001277004985777006}}","9","","finished","-","","2303.11932_13, MLAgentBench, ReAct, SlidingWindow, agent_architecture, gpt-4o","2025-04-01T03:31:21.000Z","180","86fjisbn","agent_architecture","","","MLAgentBench","","","","gpt-4o","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3634","0.33848750000000005","87","{'Experiment 1': True, 'Experiment 2': True, 'Experiment 3': True, 'Experiment 4': True}","4","","","","","{'Experiment 1': {'IoU': 0.0013228687362359965}, 'Experiment 2': {'IoU': 0.001294992995005883}, 'Experiment 3': {'IoU': 0.001260498017262972}, 'Experiment 4': {'IoU': 0.0012804952784324249}}","","","","164635","","","","{'Experiment 1': 0.002986961677392756, 'Experiment 2': 0.001954939804056668, 'Experiment 3': 0.001605914857059328, 'Experiment 4': 0.0027257364507362073}"
"rosy-sweep-134","ReAct","2309.05569_9","SlidingWindow","true","{""Experiment 1"": {""total loss"": 0.75774}, ""Experiment 2"": {""total loss"": 0.76919}, ""Experiment 3"": {""total loss"": 0.59815}, ""Experiment 4"": {""total loss"": 0.78735}, ""Experiment 5"": {""total loss"": 0.72689}, ""Experiment 6"": {""total loss"": 0.74395}, ""Experiment 7"": {""total loss"": 0.78478}, ""Experiment 8"": {""total loss"": 0.78478}, ""Experiment 9"": {""total loss"": 0.87189}, ""Experiment 10"": {""total loss"": 0.75746}}","5","","finished","-","","2309.05569_9, MLAgentBench, ReAct, SlidingWindow, agent_architecture, gpt-4o","2025-04-01T00:33:13.000Z","260","86fjisbn","agent_architecture","","","MLAgentBench","","","","gpt-4o","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1567","0.37673750000000006","190","{'Experiment 1': True, 'Experiment 2': True, 'Experiment 3': True, 'Experiment 4': True, 'Experiment 5': True, 'Experiment 6': True, 'Experiment 7': True, 'Experiment 8': True, 'Experiment 9': True, 'Experiment 10': True}","10","","","","","{'Experiment 1': {'total loss': 0.79258}, 'Experiment 2': {'total loss': 0.76919}, 'Experiment 3': {'total loss': 0.59815}, 'Experiment 4': {'total loss': 0.78735}, 'Experiment 5': {'total loss': 0.72689}, 'Experiment 6': {'total loss': 0.74395}, 'Experiment 7': {'total loss': 0.78478}, 'Experiment 8': {'total loss': 0.78478}, 'Experiment 9': {'total loss': 0.87189}, 'Experiment 10': {'total loss': 0.75746}}","","","","206763","","","","{'Experiment 1': 0.04395770773928182, 'Experiment 2': 0.0, 'Experiment 3': 0.0, 'Experiment 4': 0.0, 'Experiment 5': 0.0, 'Experiment 6': 0.0, 'Experiment 7': 0.0, 'Experiment 8': 0.0, 'Experiment 9': 0.0, 'Experiment 10': 0.0}"
"resilient-sweep-161","ReAct","2303.11932_8","SlidingWindow","true","{""Experiment 1"": {""IoU"": 0.000953057404949038}, ""Experiment 2"": {""IoU"": 0.09064852690517}, ""Experiment 3"": {""IoU"": 0.0013262279671601928}, ""Experiment 4"": {""IoU"": 0.0009562781308140517}, ""Experiment 5"": {""IoU"": 0.0009321650250641165}, ""Experiment 6"": {""IoU"": 0.0009395198870338507}, ""Experiment 7"": {""IoU"": 0.09093167773223215}, ""Experiment 8"": {""IoU"": 0.09115377564502034}, ""Experiment 9"": {""IoU"": 0.09113290447168346}, ""Experiment 10"": {""IoU"": 0.001305348947612518}, ""Experiment 11"": {""IoU"": 0.0012647726894684662}, ""Experiment 12"": {""IoU"": 0.0012777795623500983}}","5","","finished","-","","2303.11932_8, MLAgentBench, ReAct, SlidingWindow, agent_architecture, gpt-4o","2025-04-01T02:13:15.000Z","335","86fjisbn","agent_architecture","","","MLAgentBench","","","","gpt-4o","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5283","0.31660000000000005","244","{'Experiment 1': True, 'Experiment 2': True, 'Experiment 3': True, 'Experiment 4': True, 'Experiment 5': True, 'Experiment 6': True, 'Experiment 7': True, 'Experiment 8': True, 'Experiment 9': True, 'Experiment 10': True, 'Experiment 11': True, 'Experiment 12': True}","12","","","","","{'Experiment 1': {'IoU': 0.0009487731606616132}, 'Experiment 2': {'IoU': 0.09065141693255822}, 'Experiment 3': {'IoU': 0.0013228687362359965}, 'Experiment 4': {'IoU': 0.000950343637027683}, 'Experiment 5': {'IoU': 0.0009427296271823229}, 'Experiment 6': {'IoU': 0.0009435898472335024}, 'Experiment 7': {'IoU': 0.09061482887766313}, 'Experiment 8': {'IoU': 0.09164573186628844}, 'Experiment 9': {'IoU': 0.09111485122946014}, 'Experiment 10': {'IoU': 0.001294992995005883}, 'Experiment 11': {'IoU': 0.001260498017262972}, 'Experiment 12': {'IoU': 0.0012804952784324249}}","","","","168100","","","","{'Experiment 1': 0.00451556227037164, 'Experiment 2': 3.1880664263330505e-05, 'Experiment 3': 0.0025393531740378387, 'Experiment 4': 0.0062445767563926845, 'Experiment 5': 0.011206396631219119, 'Experiment 6': 0.004313272563905204, 'Experiment 7': 0.003496655663244601, 'Experiment 8': 0.005368021087832756, 'Experiment 9': 0.0001981372079272812, 'Experiment 10': 0.007996917857140911, 'Experiment 11': 0.003391256588230273, 'Experiment 12': 0.0021208325622654135}"
"icy-sweep-206","ReAct","2205.00048_3","SlidingWindow","true","{""Experiment 1"": {""IIF"": [0.00022957766970338144], ""IGF"": [6.531420796327108e-06], ""GIF"": [1.5155270864260923e-05], ""GGF"": [5.865956097793335e-07], ""AIF"": [1.3747849386984705e-05], ""AGF"": [3.417965144382433e-07], ""IID"": [0.00012941373053020611], ""IGD"": [2.6309788544084347e-06], ""GID"": [2.9055386641092446e-05], ""GGD"": [1.5267569462768894e-06], ""AID"": [2.832898259643734e-05], ""AGD"": [1.471852226331411e-06], ""IIR"": [3.843119017823239e-06], ""IGR"": [8.527492939359041e-07], ""GIR"": [1.9742164624446923e-05], ""GGR"": [1.501924858720956e-06], ""AIR"": [2.031354493845111e-05], ""AGR"": [1.693986814130217e-06]},
""Experiment 2"": {""IIF"": [0.00022957766970338144], ""IGF"": [6.531420796327108e-06], ""GIF"": [1.7013274276116187e-05], ""GGF"": [6.076624364512684e-07], ""AIF"": [1.3747849386984705e-05], ""AGF"": [3.417965144382433e-07], ""IID"": [0.00012941373053020611], ""IGD"": [2.6309788544084347e-06], ""GID"": [3.0067999447094528e-05], ""GGD"": [1.4998125126298506e-06], ""AID"": [2.832898259643734e-05], ""AGD"": [1.471852226331411e-06], ""IIR"": [3.843119017823239e-06], ""IGR"": [8.527492939359041e-07], ""GIR"": [1.9274343908753687e-05], ""GGR"": [1.6062016369437721e-06], ""AIR"": [2.031354493845111e-05], ""AGR"": [1.693986814130217e-06]},
""Experiment 3"": {""IIF"": [0.00022484007768105817], ""IGF"": [3.082074136416555e-06], ""GIF"": [9.181278104732387e-07], ""GGF"": [7.469683296964291e-08], ""AIF"": [7.250710559713114e-07], ""AGF"": [6.663700948973803e-08], ""IID"": [0.00012968000016872448], ""IGD"": [3.569623602862792e-06], ""GID"": [8.174601999868197e-06], ""GGD"": [8.250136749057006e-07], ""AID"": [7.978072339059405e-06], ""AGD"": [8.621028003209006e-07], ""IIR"": [8.846980678664919e-06], ""IGR"": [5.240740702300814e-06], ""GIR"": [1.309852303701036e-05], ""GGR"": [1.3120803641594582e-06], ""AIR"": [1.298541301208657e-05], ""AGR"": [1.3593968930682123e-06]},
""Experiment 4"": {""IIF"": [0.00022484007768105817], ""IGF"": [3.082074136416555e-06], ""GIF"": [1.3634435504785814e-06], ""GGF"": [7.798720588589249e-08], ""AIF"": [7.250710559713114e-07], ""AGF"": [6.663700948973803e-08], ""IID"": [0.00012968000016872448], ""IGD"": [3.569623602862792e-06], ""GID"": [8.315038120896211e-06], ""GGD"": [9.70671953612065e-07], ""AID"": [7.978072339059405e-06], ""AGD"": [8.621028003209006e-07], ""IIR"": [8.846980678664919e-06], ""IGR"": [5.240740702300814e-06], ""GIR"": [1.3171213308192974e-05], ""GGR"": [1.6067363084913638e-06], ""AIR"": [1.298541301208657e-05], ""AGR"": [1.3593968930682123e-06]}}","5","","finished","-","","2205.00048_3, MLAgentBench, ReAct, SlidingWindow, agent_architecture, gpt-4o","2025-04-01T08:49:50.000Z","416","86fjisbn","agent_architecture","","","MLAgentBench","","","","gpt-4o","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5887","0.45920000000000005","332","{'Experiment 1': True, 'Experiment 2': True, 'Experiment 3': True, 'Experiment 4': True}","4","","","","","{'Experiment 1': {'IIF': [0.00022957766970338144], 'IGF': [6.531420796327108e-06], 'GIF': [1.5155270864260923e-05], 'GGF': [5.865956097793335e-07], 'AIF': [1.3747849386984705e-05], 'AGF': [3.417965144382433e-07], 'IID': [0.00012941373053020611], 'IGD': [2.6309788544084347e-06], 'GID': [2.9055386641092446e-05], 'GGD': [1.5267569462768894e-06], 'AID': [2.832898259643734e-05], 'AGD': [1.471852226331411e-06], 'IIR': [3.843119017823239e-06], 'IGR': [8.527492939359041e-07], 'GIR': [1.9742164624446923e-05], 'GGR': [1.501924858720956e-06], 'AIR': [2.031354493845111e-05], 'AGR': [1.693986814130217e-06]}, 'Experiment 2': {'IIF': [0.00022957766970338144], 'IGF': [6.531420796327108e-06], 'GIF': [1.7013274276116187e-05], 'GGF': [6.076624364512684e-07], 'AIF': [1.3747849386984705e-05], 'AGF': [3.417965144382433e-07], 'IID': [0.00012941373053020611], 'IGD': [2.6309788544084347e-06], 'GID': [3.0067999447094528e-05], 'GGD': [1.4998125126298506e-06], 'AID': [2.832898259643734e-05], 'AGD': [1.471852226331411e-06], 'IIR': [3.843119017823239e-06], 'IGR': [8.527492939359041e-07], 'GIR': [1.9274343908753687e-05], 'GGR': [1.6062016369437721e-06], 'AIR': [2.031354493845111e-05], 'AGR': [1.693986814130217e-06]}, 'Experiment 3': {'IIF': [0.00022484007768105817], 'IGF': [3.082074136416555e-06], 'GIF': [9.181278104732387e-07], 'GGF': [7.469683296964291e-08], 'AIF': [7.250710559713114e-07], 'AGF': [6.663700948973803e-08], 'IID': [0.00012968000016872448], 'IGD': [3.569623602862792e-06], 'GID': [8.174601999868197e-06], 'GGD': [8.250136749057006e-07], 'AID': [7.978072339059405e-06], 'AGD': [8.621028003209006e-07], 'IIR': [8.846980678664919e-06], 'IGR': [5.240740702300814e-06], 'GIR': [1.309852303701036e-05], 'GGR': [1.3120803641594582e-06], 'AIR': [1.298541301208657e-05], 'AGR': [1.3593968930682123e-06]}, 'Experiment 4': {'IIF': [0.00022484007768105817], 'IGF': [3.082074136416555e-06], 'GIF': [1.3634435504785814e-06], 'GGF': [7.798720588589249e-08], 'AIF': [7.250710559713114e-07], 'AGF': [6.663700948973803e-08], 'IID': [0.00012968000016872448], 'IGD': [3.569623602862792e-06], 'GID': [8.315038120896211e-06], 'GGD': [9.70671953612065e-07], 'AID': [7.978072339059405e-06], 'AGD': [8.621028003209006e-07], 'IIR': [8.846980678664919e-06], 'IGR': [5.240740702300814e-06], 'GIR': [1.3171213308192974e-05], 'GGR': [1.6067363084913638e-06], 'AIR': [1.298541301208657e-05], 'AGR': [1.3593968930682123e-06]}}","","","","224068","","","","{'Experiment 1': 0.0, 'Experiment 2': 0.0, 'Experiment 3': 0.0, 'Experiment 4': 0.0}"
"solar-sweep-137","ReAct","2303.11932_0","SlidingWindow","true","{""Experiment 1"": {""IoU"": 0.000950501753287916}, ""Experiment 2"": {""IoU"": 0.0906811086363702}, ""Experiment 3"": {""IoU"": 0.0013243333819795784}}","8","","finished","-","","2303.11932_0, MLAgentBench, ReAct, SlidingWindow, agent_architecture, gpt-4o","2025-04-01T00:39:10.000Z","232","86fjisbn","agent_architecture","","","MLAgentBench","","","","gpt-4o","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4324","0.3340675000000001","103","{'Experiment 1': True, 'Experiment 2': True, 'Experiment 3': True}","3","","","","","{'Experiment 1': {'IoU': 0.0009487731606616132}, 'Experiment 2': {'IoU': 0.09065141693255822}, 'Experiment 3': {'IoU': 0.0013228687362359965}}","","","","163499","","","","{'Experiment 1': 0.0018219240361914597, 'Experiment 2': 0.000327537117638977, 'Experiment 3': 0.001107173904305383}"
"glad-sweep-167","ReAct","2303.11932_10","SlidingWindow","true","{""Experiment 1"": {""IoU"": 0.0009531822578630967}, ""Experiment 2"": {""IoU"": 0.0009549737419081047}, ""Experiment 3"": {""IoU"": 0.0009415661473632589}, ""Experiment 4"": {""IoU"": 0.0009437211328636644}}","9","","finished","-","","2303.11932_10, MLAgentBench, ReAct, SlidingWindow, agent_architecture, gpt-4o","2025-04-01T02:51:26.000Z","178","86fjisbn","agent_architecture","","","MLAgentBench","","","","gpt-4o","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3838","0.3313700000000001","82","{'Experiment 1': True, 'Experiment 2': True, 'Experiment 3': True, 'Experiment 4': True}","4","","","","","{'Experiment 1': {'IoU': 0.0009487731606616132}, 'Experiment 2': {'IoU': 0.000950343637027683}, 'Experiment 3': {'IoU': 0.0009427296271823229}, 'Experiment 4': {'IoU': 0.0009435898472335024}}","","","","160268","","","","{'Experiment 1': 0.004647156332298459, 'Experiment 2': 0.004872032283925209, 'Experiment 3': 0.0012341606601900198, 'Experiment 4': 0.0001391342123348499}"
"lyric-sweep-146","ReAct","2303.11932_3","SlidingWindow","true","{""Experiment 1"": {""IoU"": 0.0009534136256661441}, ""Experiment 2"": {""IoU"": 0.09069673814414833}, ""Experiment 3"": {""IoU"": 0.0013286292622489361}}","28","","finished","-","","2303.11932_3, MLAgentBench, ReAct, SlidingWindow, agent_architecture, gpt-4o","2025-04-01T01:04:48.000Z","637","86fjisbn","agent_architecture","","","MLAgentBench","","","","gpt-4o","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14721","0.8486125000000001","393","{'Experiment 1': True, 'Experiment 2': True, 'Experiment 3': True}","3","","","","","{'Experiment 1': {'IoU': 0.000950343637027683}, 'Experiment 2': {'IoU': 0.09061482887766313}, 'Experiment 3': {'IoU': 0.001294992995005883}}","","","","339505","","","","{'Experiment 1': 0.0032303984778210026, 'Experiment 2': 0.0009039278394023535, 'Experiment 3': 0.025974092039702707}"
"light-sweep-164","ReAct","2303.11932_9","SlidingWindow","true","{""Experiment 1"": {""IoU"": 0.0009486116944991898}, ""Experiment 2"": {""IoU"": 0.0013222323403589632}, ""Experiment 3"": {""IoU"": 0.0009513005801146881}, ""Experiment 4"": {""IoU"": 0.0009761855185388413}, ""Experiment 5"": {""IoU"": 0.000954801652684322}}","5","","finished","-","","2303.11932_9, MLAgentBench, ReAct, SlidingWindow, agent_architecture, gpt-4o","2025-04-01T02:35:25.000Z","199","86fjisbn","agent_architecture","","","MLAgentBench","","","","gpt-4o","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3819","0.28218000000000004","100","{'Experiment 1': True, 'Experiment 2': True, 'Experiment 3': True, 'Experiment 4': True, 'Experiment 5': True}","5","","","","","{'Experiment 1': {'IoU': 0.0009487731606616132}, 'Experiment 2': {'IoU': 0.0013228687362359965}, 'Experiment 3': {'IoU': 0.000950343637027683}, 'Experiment 4': {'IoU': 0.0009427296271823229}, 'Experiment 5': {'IoU': 0.0009435898472335024}}","","","","145980","","","","{'Experiment 1': 0.0001701841589941035, 'Experiment 2': 0.00048107258082460454, 'Experiment 3': 0.0010069442775437847, 'Experiment 4': 0.03548832071451176, 'Experiment 5': 0.01188207512373229}"
"kind-sweep-170","ReAct","2303.11932_11","SlidingWindow","true","{""Experiment 1"": {""IoU"": 0.09121334907239287}, ""Experiment 2"": {""IoU"": 0.09101961028840705}, ""Experiment 3"": {""IoU"": 0.09189214637053038}, ""Experiment 4"": {""IoU"": 0.09125315702089537}}","10","","finished","-","","2303.11932_11, MLAgentBench, ReAct, SlidingWindow, agent_architecture, gpt-4o","2025-04-01T03:01:09.000Z","217","86fjisbn","agent_architecture","","","MLAgentBench","","","","gpt-4o","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4564","0.349995","113","{'Experiment 1': True, 'Experiment 2': True, 'Experiment 3': True, 'Experiment 4': True}","4","","","","","{'Experiment 1': {'IoU': 0.09065141693255822}, 'Experiment 2': {'IoU': 0.09061482887766313}, 'Experiment 3': {'IoU': 0.09164573186628844}, 'Experiment 4': {'IoU': 0.09111485122946014}}","","","","165646","","","","{'Experiment 1': 0.006198823568888114, 'Experiment 2': 0.004467054849161647, 'Experiment 3': 0.002688772288942601, 'Experiment 4': 0.0015179280827329032}"
"devoted-sweep-188","ReAct","2110.03485_2","SlidingWindow","true","{""Experiment 1"": {""last_distortion_loss"": 0.000499261892400682}, ""Experiment 2"": {""last_distortion_loss"": 0.00036499922862276435}, ""Experiment 3"": {""last_distortion_loss"": 0.0005185372428968549}, ""Experiment 4"": {""last_sparsity_loss"": 0.01838984340429306}, ""Experiment 5"": {""last_sparsity_loss"": 0.03278161212801933}, ""Experiment 6"": {""last_sparsity_loss"": 0.012362958863377571}}","13","","finished","-","","2110.03485_2, MLAgentBench, ReAct, SlidingWindow, agent_architecture, gpt-4o","2025-04-01T05:01:48.000Z","823","86fjisbn","agent_architecture","","","MLAgentBench","","","","gpt-4o","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10107","0.5766625","732","{'Experiment 1': True, 'Experiment 2': True, 'Experiment 3': True, 'Experiment 4': True, 'Experiment 5': True, 'Experiment 6': True}","6","","","","","{'Experiment 1': {'last_distortion_loss': 0.000499261892400682}, 'Experiment 2': {'last_distortion_loss': 0.00036499922862276435}, 'Experiment 3': {'last_distortion_loss': 0.0005185372428968549}, 'Experiment 4': {'last_sparsity_loss': 0.01838984340429306}, 'Experiment 5': {'last_sparsity_loss': 0.03278161212801933}, 'Experiment 6': {'last_sparsity_loss': 0.012362958863377571}}","","","","263453","","","","{'Experiment 1': 0.0, 'Experiment 2': 0.0, 'Experiment 3': 0.0, 'Experiment 4': 0.0, 'Experiment 5': 0.0, 'Experiment 6': 0.0}"
