Combined ID,Run 1,Run 2,Run 3,Run 4,Run 5,Pass@5,Verifier,Verifier Correct,,,
2110.03485_0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,Pass@1,0.4166666667
2110.03485_1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,Pass@5,0.5277777778
2110.03485_2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,Verifier,0.4722222222
2110.03485_3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,
2110.03485_4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,
2205.00048_0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,
2205.00048_1,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,4,TRUE,,,
2205.00048_2,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,2,TRUE,,,
2205.00048_3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,,
2205.00048_4,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,2,TRUE,,,
2205.00048_5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,,
2205.00048_6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,
2303.11932_0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,3,TRUE,,,
2303.11932_1,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,3,TRUE,,,
2303.11932_10,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,,
2303.11932_11,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,,
2303.11932_12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,,
2303.11932_13,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,,
2303.11932_14,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,,
2303.11932_2,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,2,TRUE,,,
2303.11932_3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,,
2303.11932_4,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,4,FALSE,,,
2303.11932_5,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,4,FALSE,,,
2303.11932_6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,
2303.11932_7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,
2303.11932_8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,
2303.11932_9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,,
2309.05569_0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,
2309.05569_1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,
2309.05569_2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,
2309.05569_3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,
2309.05569_4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,
2309.05569_5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,
2309.05569_6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,,
2309.05569_7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,,
2309.05569_9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,,
,14,17,14,15,15,19,,17,,,
,0.3888888889,0.4722222222,0.3888888889,0.4166666667,0.4166666667,,,,,,
,,,,,,,,,,,
0.4166666667,,,,,,,,,,,
0.03402069087,,,,,,,,,,,
