Combined ID,Run 1,Run 2,Run 3,Run 4,Run 5,Pass@5,Verifier,Verifier Correct,Majority,,,
2110.03485_0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,Pass@1,0.3888888889
2110.03485_1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,3,FALSE,FALSE,,Pass@5,0.6388888889
2110.03485_2,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,3,FALSE,FALSE,,Verifier,0.4166666667
2110.03485_3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,Majority,0.4166666667
2110.03485_4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,
2205.00048_0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,5,FALSE,FALSE,,,
2205.00048_1,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,3,TRUE,TRUE,,,
2205.00048_2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,5,FALSE,FALSE,,,
2205.00048_3,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,5,TRUE,TRUE,,,
2205.00048_4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,
2205.00048_5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,
2205.00048_6,FALSE,FALSE,,FALSE,FALSE,FALSE,,FALSE,FALSE,,,
2303.11932_0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,5,TRUE,TRUE,,,
2303.11932_1,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,4,TRUE,TRUE,,,
2303.11932_10,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,4,TRUE,TRUE,,,
2303.11932_11,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,5,TRUE,TRUE,,,
2303.11932_12,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,3,FALSE,FALSE,,,
2303.11932_13,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,,,
2303.11932_14,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,,,
2303.11932_2,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,5,TRUE,FALSE,,,
2303.11932_3,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,3,TRUE,TRUE,,,
2303.11932_4,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,5,TRUE,TRUE,,,
2303.11932_5,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,3,TRUE,TRUE,,,
2303.11932_6,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,4,FALSE,FALSE,,,
2303.11932_7,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,5,TRUE,TRUE,,,
2303.11932_8,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,5,FALSE,FALSE,,,
2303.11932_9,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,3,TRUE,TRUE,,,
2309.05569_0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,
2309.05569_1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,
2309.05569_2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,
2309.05569_3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,
2309.05569_4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,
2309.05569_5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,4,FALSE,TRUE,,,
2309.05569_6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,
2309.05569_7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,
2309.05569_9,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,4,TRUE,TRUE,,,
,14,16,14,11,15,23,,15,15,,,
,0.3888888889,0.4444444444,0.3888888889,0.3055555556,0.4166666667,,,,,,,
,,,,,,,,,,,,
0.3888888889,,,,,,,,,,,,
0.05196746371,,,,,,,,,,,,
