"Name","combined-id","all_correct","agent_output","step","Agent","State","Notes","User","Tags","Created","Runtime","Sweep","_tags","agent","code-retrieval","combined_id","command","environment","environtment","k","lookback","max-completion-tokens","memory","method","model-engine","model","name","parameters._tags","parameters.agent","parameters.agents","parameters.code-retrieval","parameters.code-retrievals","parameters.combined-ids","parameters.combined_ids","parameters.environment","parameters.environtment","parameters.k","parameters.lookback","parameters.max-completion-tokens","parameters.max-completion-tokenss","parameters.memory","parameters.memorys","parameters.model-engine","parameters.model-engines","parameters.model","parameters.reasoning-efforts","parameters.retrieval","parameters.retrievals","reasoning-effort","retrieval","completion_tokens","compute_cost","compute_time","correct","correct_count","cost","experiment_description","func_ids","funcs_to_block","gold_output","losses","mode","paper_id","path","prompt_tokens","reasoning_tokens","refsol","split"
"youthful-sweep-13","2303.11932_3","true","{
  ""Experiment 1"": {""IoU"": 0.0009332325454264579},
  ""Experiment 2"": {""IoU"": 0.09324876390327028},
  ""Experiment 3"": {""IoU"": 0.0012776553585587326}
}","9","","finished","-","","2303.11932_3, Full, MLAgentBench, ReAct, agent, agent_architecture, anthropic/claude-3-5-sonnet-20240620","2025-05-08T21:44:37.000Z","485","ixq9fd8l","agent_architecture","ReAct","","","","MLAgentBench","","","","","Full","","anthropic/claude-3-5-sonnet-20240620","","","","","","","","","","","","","","","","","","","","","","","","","","5457","0.626568","158","{'Experiment 1': True, 'Experiment 2': True, 'Experiment 3': True}","3","","","","","{'Experiment 1': {'IoU': 0.000950343637027683}, 'Experiment 2': {'IoU': 0.09061482887766313}, 'Experiment 3': {'IoU': 0.001294992995005883}}","{'Experiment 1': 0.018005162484953475, 'Experiment 2': 0.02906737294801005, 'Experiment 3': 0.013388208672952493}","","","","181571","","",""
"celestial-sweep-35","2205.00048_5","true","{
  ""Experiment 1"": {""IIF"": [0.00022957766970338144], ""IGF"": [6.531420796327108e-06], ""GIF"": [1.5155270864260923e-05], ""GGF"": [5.865956097793335e-07], ""AIF"": [1.3747849386984705e-05], ""AGF"": [3.4179651443824326e-07], ""IID"": [0.00012941373053020611], ""IGD"": [2.6309788544084347e-06], ""GID"": [2.9055386641092446e-05], ""GGD"": [1.5267569462768894e-06], ""AID"": [2.832898259643734e-05], ""AGD"": [1.471852226331411e-06], ""IIR"": [3.843119017823239e-06], ""IGR"": [8.527492939359041e-07], ""GIR"": [1.9742164624446923e-05], ""GGR"": [1.501924858720956e-06], ""AIR"": [2.031354493845111e-05], ""AGR"": [1.693986809460252e-06]},
  ""Experiment 2"": {""IIF"": [0.00022957766970338144], ""IGF"": [6.531420796327108e-06], ""GIF"": [1.7013274276116187e-05], ""GGF"": [6.076624364512684e-07], ""AIF"": [1.3747849386984705e-05], ""AGF"": [3.4179651443824326e-07], ""IID"": [0.00012941373053020611], ""IGD"": [2.6309788544084347e-06], ""GID"": [3.0067999447094528e-05], ""GGD"": [1.4998125126298506e-06], ""AID"": [2.832898259643734e-05], ""AGD"": [1.471852226331411e-06], ""IIR"": [3.843119017823239e-06], ""IGR"": [8.527492939359041e-07], ""GIR"": [1.9274343908753687e-05], ""GGR"": [1.6062016369437721e-06], ""AIR"": [2.031354493845111e-05], ""AGR"": [1.693986809460252e-06]},
  ""Experiment 3"": {""IIF"": [0.00022484007768105817], ""IGF"": [3.082074136416555e-06], ""GIF"": [9.181278104732387e-07], ""GGF"": [7.469683296964291e-08], ""AIF"": [7.250710559713114e-07], ""AGF"": [6.663700948973802e-08], ""IID"": [0.00012968000016872448], ""IGD"": [3.569623602862792e-06], ""GID"": [8.174601999868197e-06], ""GGD"": [8.250136749057006e-07], ""AID"": [7.978072339059405e-06], ""AGD"": [8.621028003209006e-07], ""IIR"": [8.846980678664919e-06], ""IGR"": [5.240740702300814e-06], ""GIR"": [1.309852303701036e-05], ""GGR"": [1.3120803641594582e-06], ""AIR"": [1.298541301208657e-05], ""AGR"": [1.3593968890373443e-06]},
  ""Experiment 4"": {""IIF"": [0.00022484007768105817], ""IGF"": [3.082074136416555e-06], ""GIF"": [1.3634435504785814e-06], ""GGF"": [7.798720588589249e-08], ""AIF"": [7.250710559713114e-07], ""AGF"": [6.663700948973802e-08], ""IID"": [0.00012968000016872448], ""IGD"": [3.569623602862792e-06], ""GID"": [8.315038120896211e-06], ""GGD"": [9.70671953612065e-07], ""AID"": [7.978072339059405e-06], ""AGD"": [8.621028003209006e-07], ""IIR"": [8.846980678664919e-06], ""IGR"": [5.240740702300814e-06], ""GIR"": [1.3171213308192974e-05], ""GGR"": [1.6067363084913638e-06], ""AIR"": [1.298541301208657e-05], ""AGR"": [1.3593968890373443e-06]}
}","7","","finished","-","","2205.00048_5, Full, MLAgentBench, ReAct, agent, agent_architecture, anthropic/claude-3-5-sonnet-20240620","2025-05-08T22:36:05.000Z","534","ixq9fd8l","agent_architecture","ReAct","","","","MLAgentBench","","","","","Full","","anthropic/claude-3-5-sonnet-20240620","","","","","","","","","","","","","","","","","","","","","","","","","","7450","0.7484940000000001","390","{'Experiment 1': True, 'Experiment 2': True, 'Experiment 3': True, 'Experiment 4': True}","4","","","","","{'Experiment 1': {'IIF': [0.00022957766970338144], 'IGF': [6.531420796327108e-06], 'GIF': [1.5155270864260923e-05], 'GGF': [5.865956097793335e-07], 'AIF': [1.3747849386984705e-05], 'AGF': [3.417965144382433e-07], 'IID': [0.00012941373053020611], 'IGD': [2.6309788544084347e-06], 'GID': [2.9055386641092446e-05], 'GGD': [1.5267569462768894e-06], 'AID': [2.832898259643734e-05], 'AGD': [1.471852226331411e-06], 'IIR': [3.843119017823239e-06], 'IGR': [8.527492939359041e-07], 'GIR': [1.9742164624446923e-05], 'GGR': [1.501924858720956e-06], 'AIR': [2.031354493845111e-05], 'AGR': [1.693986814130217e-06]}, 'Experiment 2': {'IIF': [0.00022957766970338144], 'IGF': [6.531420796327108e-06], 'GIF': [1.7013274276116187e-05], 'GGF': [6.076624364512684e-07], 'AIF': [1.3747849386984705e-05], 'AGF': [3.417965144382433e-07], 'IID': [0.00012941373053020611], 'IGD': [2.6309788544084347e-06], 'GID': [3.0067999447094528e-05], 'GGD': [1.4998125126298506e-06], 'AID': [2.832898259643734e-05], 'AGD': [1.471852226331411e-06], 'IIR': [3.843119017823239e-06], 'IGR': [8.527492939359041e-07], 'GIR': [1.9274343908753687e-05], 'GGR': [1.6062016369437721e-06], 'AIR': [2.031354493845111e-05], 'AGR': [1.693986814130217e-06]}, 'Experiment 3': {'IIF': [0.00022484007768105817], 'IGF': [3.082074136416555e-06], 'GIF': [9.181278104732387e-07], 'GGF': [7.469683296964291e-08], 'AIF': [7.250710559713114e-07], 'AGF': [6.663700948973803e-08], 'IID': [0.00012968000016872448], 'IGD': [3.569623602862792e-06], 'GID': [8.174601999868197e-06], 'GGD': [8.250136749057006e-07], 'AID': [7.978072339059405e-06], 'AGD': [8.621028003209006e-07], 'IIR': [8.846980678664919e-06], 'IGR': [5.240740702300814e-06], 'GIR': [1.309852303701036e-05], 'GGR': [1.3120803641594582e-06], 'AIR': [1.298541301208657e-05], 'AGR': [1.3593968930682123e-06]}, 'Experiment 4': {'IIF': [0.00022484007768105817], 'IGF': [3.082074136416555e-06], 'GIF': [1.3634435504785814e-06], 'GGF': [7.798720588589249e-08], 'AIF': [7.250710559713114e-07], 'AGF': [6.663700948973803e-08], 'IID': [0.00012968000016872448], 'IGD': [3.569623602862792e-06], 'GID': [8.315038120896211e-06], 'GGD': [9.70671953612065e-07], 'AID': [7.978072339059405e-06], 'AGD': [8.621028003209006e-07], 'IIR': [8.846980678664919e-06], 'IGR': [5.240740702300814e-06], 'GIR': [1.3171213308192974e-05], 'GGR': [1.6067363084913638e-06], 'AIR': [1.298541301208657e-05], 'AGR': [1.3593968930682123e-06]}}","{'Experiment 1': 1.531549774481591e-10, 'Experiment 2': 1.531549774481591e-10, 'Experiment 3': 1.647327045968562e-10, 'Experiment 4': 1.647327045968562e-10}","","","","212248","","",""
"fluent-sweep-22","2303.11932_12","true","{""Experiment 1"": {""IoU"": 0.09075411490240907}, ""Experiment 2"": {""IoU"": 0.09068527441132364}, ""Experiment 3"": {""IoU"": 0.09116391499586686}, ""Experiment 4"": {""IoU"": 0.09116251156566972}}","6","","finished","-","","2303.11932_12, Full, MLAgentBench, ReAct, agent, agent_architecture, anthropic/claude-3-5-sonnet-20240620","2025-05-08T22:13:13.000Z","468","ixq9fd8l","agent_architecture","ReAct","","","","MLAgentBench","","","","","Full","","anthropic/claude-3-5-sonnet-20240620","","","","","","","","","","","","","","","","","","","","","","","","","","4409","0.404574","335","{'Experiment 1': True, 'Experiment 2': True, 'Experiment 3': True, 'Experiment 4': True}","4","","","","","{'Experiment 1': {'IoU': 0.09065141693255822}, 'Experiment 2': {'IoU': 0.09061482887766313}, 'Experiment 3': {'IoU': 0.09164573186628844}, 'Experiment 4': {'IoU': 0.09111485122946014}}","{'Experiment 1': 0.0011328887437827393, 'Experiment 2': 0.0007774172785296961, 'Experiment 3': 0.005257384720595075, 'Experiment 4': 0.0005230797786142791}","","","","112813","","",""
"vague-sweep-23","2303.11932_13","true","{
  ""Experiment 1"": {""IoU"": 0.0013249144085420994},
  ""Experiment 2"": {""IoU"": 0.0013045170921358452},
  ""Experiment 3"": {""IoU"": 0.0012647626460350764},
  ""Experiment 4"": {""IoU"": 0.001278593491802801}
}","7","","finished","-","","2303.11932_13, Full, MLAgentBench, ReAct, agent, agent_architecture, anthropic/claude-3-5-sonnet-20240620","2025-05-08T22:13:21.000Z","495","ixq9fd8l","agent_architecture","ReAct","","","","MLAgentBench","","","","","Full","","anthropic/claude-3-5-sonnet-20240620","","","","","","","","","","","","","","","","","","","","","","","","","","4238","0.509703","143","{'Experiment 1': True, 'Experiment 2': True, 'Experiment 3': True, 'Experiment 4': True}","4","","","","","{'Experiment 1': {'IoU': 0.0013228687362359965}, 'Experiment 2': {'IoU': 0.001294992995005883}, 'Experiment 3': {'IoU': 0.001260498017262972}, 'Experiment 4': {'IoU': 0.0012804952784324249}}","{'Experiment 1': 0.001546390998644017, 'Experiment 2': 0.0073545549409855405, 'Experiment 3': 0.003383288758648389, 'Experiment 4': 0.001485196128135767}","","","","148711","","",""
"robust-sweep-8","2309.05569_7","true","{
  ""Experiment 1"": {""total loss"": 0.79258},
  ""Experiment 2"": {""total loss"": 0.76919},
  ""Experiment 3"": {""total loss"": 0.59815},
  ""Experiment 4"": {""total loss"": 0.78735},
  ""Experiment 5"": {""total loss"": 0.72689},
  ""Experiment 6"": {""total loss"": 0.74395},
  ""Experiment 7"": {""total loss"": 0.78478},
  ""Experiment 8"": {""total loss"": 0.78478},
  ""Experiment 9"": {""total loss"": 0.87189},
  ""Experiment 10"": {""total loss"": 0.75746}
}","6","","finished","-","","2309.05569_7, Full, MLAgentBench, ReAct, agent, agent_architecture, anthropic/claude-3-5-sonnet-20240620","2025-05-08T21:38:39.000Z","262","ixq9fd8l","agent_architecture","ReAct","","","","MLAgentBench","","","","","Full","","anthropic/claude-3-5-sonnet-20240620","","","","","","","","","","","","","","","","","","","","","","","","","","2492","0.474438","190","{'Experiment 1': True, 'Experiment 2': True, 'Experiment 3': True, 'Experiment 4': True, 'Experiment 5': True, 'Experiment 6': True, 'Experiment 7': True, 'Experiment 8': True, 'Experiment 9': True, 'Experiment 10': True}","10","","","","","{'Experiment 1': {'total loss': 0.79258}, 'Experiment 2': {'total loss': 0.76919}, 'Experiment 3': {'total loss': 0.59815}, 'Experiment 4': {'total loss': 0.78735}, 'Experiment 5': {'total loss': 0.72689}, 'Experiment 6': {'total loss': 0.74395}, 'Experiment 7': {'total loss': 0.78478}, 'Experiment 8': {'total loss': 0.78478}, 'Experiment 9': {'total loss': 0.87189}, 'Experiment 10': {'total loss': 0.75746}}","{'Experiment 1': 0.0, 'Experiment 2': 0.0, 'Experiment 3': 0.0, 'Experiment 4': 0.0, 'Experiment 5': 0.0, 'Experiment 6': 0.0, 'Experiment 7': 0.0, 'Experiment 8': 0.0, 'Experiment 9': 0.0, 'Experiment 10': 0.0}","","","","145686","","",""
"dandy-sweep-24","2303.11932_14","true","{
  ""Experiment 1"": {""IoU"": 0.0013226954016108022},
  ""Experiment 2"": {""IoU"": 0.0013023389909414197},
  ""Experiment 3"": {""IoU"": 0.0012881083532939113},
  ""Experiment 4"": {""IoU"": 0.0012811443432908093}
}","14","","finished","-","","2303.11932_14, Full, MLAgentBench, ReAct, agent, agent_architecture, anthropic/claude-3-5-sonnet-20240620","2025-05-08T22:13:51.000Z","629","ixq9fd8l","agent_architecture","ReAct","","","","MLAgentBench","","","","","Full","","anthropic/claude-3-5-sonnet-20240620","","","","","","","","","","","","","","","","","","","","","","","","","","6218","1.036752","77","{'Experiment 1': True, 'Experiment 2': True, 'Experiment 3': True, 'Experiment 4': True}","4","","","","","{'Experiment 1': {'IoU': 0.0013228687362359965}, 'Experiment 2': {'IoU': 0.001294992995005883}, 'Experiment 3': {'IoU': 0.001260498017262972}, 'Experiment 4': {'IoU': 0.0012804952784324249}}","{'Experiment 1': 0.0001310293458801631, 'Experiment 2': 0.005672614418662028, 'Experiment 3': 0.02190430738708504, 'Experiment 4': 0.0005068857881139596}","","","","314494","","",""
"eternal-sweep-19","2303.11932_9","true","{""Experiment 1"": {""IoU"": 0.0009518203790041577}, ""Experiment 2"": {""IoU"": 0.0013310033816826316}, ""Experiment 3"": {""IoU"": 0.0009488150074922977}, ""Experiment 4"": {""IoU"": 0.0009426378193357101}, ""Experiment 5"": {""IoU"": 0.0009418415323778343}}","10","","finished","-","","2303.11932_9, Full, MLAgentBench, ReAct, agent, agent_architecture, anthropic/claude-3-5-sonnet-20240620","2025-05-08T22:03:25.000Z","584","ixq9fd8l","agent_architecture","ReAct","","","","MLAgentBench","","","","","Full","","anthropic/claude-3-5-sonnet-20240620","","","","","","","","","","","","","","","","","","","","","","","","","","5202","0.998235","198","{'Experiment 1': True, 'Experiment 2': True, 'Experiment 3': True, 'Experiment 4': True, 'Experiment 5': True}","5","","","","","{'Experiment 1': {'IoU': 0.0009487731606616132}, 'Experiment 2': {'IoU': 0.0013228687362359965}, 'Experiment 3': {'IoU': 0.000950343637027683}, 'Experiment 4': {'IoU': 0.0009427296271823229}, 'Experiment 5': {'IoU': 0.0009435898472335024}}","{'Experiment 1': 0.0032117459355823024, 'Experiment 2': 0.006149246122318123, 'Experiment 3': 0.0016085018890285502, 'Experiment 4': 9.738512927313178e-05, 'Experiment 5': 0.001852833475046351}","","","","306735","","",""
"exalted-sweep-12","2303.11932_2","true","{""Experiment 1"": {""IoU"": 0.0009487631921332743}, ""Experiment 2"": {""IoU"": 0.09065070035073101}, ""Experiment 3"": {""IoU"": 0.0012929630878576203}}","7","","finished","-","","2303.11932_2, Full, MLAgentBench, ReAct, agent, agent_architecture, anthropic/claude-3-5-sonnet-20240620","2025-05-08T21:43:02.000Z","564","ixq9fd8l","agent_architecture","ReAct","","","","MLAgentBench","","","","","Full","","anthropic/claude-3-5-sonnet-20240620","","","","","","","","","","","","","","","","","","","","","","","","","","3338","0.426129","196","{'Experiment 1': True, 'Experiment 2': True, 'Experiment 3': True}","3","","","","","{'Experiment 1': {'IoU': 0.0009427296271823229}, 'Experiment 2': {'IoU': 0.09164573186628844}, 'Experiment 3': {'IoU': 0.001260498017262972}}","{'Experiment 1': 0.006400101128660607, 'Experiment 2': 0.010857368862623949, 'Experiment 3': 0.025755749037307155}","","","","125353","","",""
"fresh-sweep-20","2303.11932_10","true","{
  ""Experiment 1"": {""IoU"": 0.0009519480030319708},
  ""Experiment 2"": {""IoU"": 0.000952797586472652},
  ""Experiment 3"": {""IoU"": 0.0009316226312946058},
  ""Experiment 4"": {""IoU"": 0.0009424785414175391}
}","7","","finished","-","","2303.11932_10, Full, MLAgentBench, ReAct, agent, agent_architecture, anthropic/claude-3-5-sonnet-20240620","2025-05-08T22:07:26.000Z","378","ixq9fd8l","agent_architecture","ReAct","","","","MLAgentBench","","","","","Full","","anthropic/claude-3-5-sonnet-20240620","","","","","","","","","","","","","","","","","","","","","","","","","","4375","0.463779","93","{'Experiment 1': True, 'Experiment 2': True, 'Experiment 3': True, 'Experiment 4': True}","4","","","","","{'Experiment 1': {'IoU': 0.0009487731606616132}, 'Experiment 2': {'IoU': 0.000950343637027683}, 'Experiment 3': {'IoU': 0.0009427296271823229}, 'Experiment 4': {'IoU': 0.0009435898472335024}}","{'Experiment 1': 0.003346260731220166, 'Experiment 2': 0.002582170647918576, 'Experiment 3': 0.011781740562152749, 'Experiment 4': 0.0011777424473371813}","","","","132718","","",""
"misunderstood-sweep-9","2309.05569_9","true","{
  ""Experiment 1"": {""total loss"": 0.79258},
  ""Experiment 2"": {""total loss"": 0.76919},
  ""Experiment 3"": {""total loss"": 0.59815},
  ""Experiment 4"": {""total loss"": 0.78735},
  ""Experiment 5"": {""total loss"": 0.72689},
  ""Experiment 6"": {""total loss"": 0.74395},
  ""Experiment 7"": {""total loss"": 0.78478},
  ""Experiment 8"": {""total loss"": 0.78478},
  ""Experiment 9"": {""total loss"": 0.87189},
  ""Experiment 10"": {""total loss"": 0.75746}
}","7","","finished","-","","2309.05569_9, Full, MLAgentBench, ReAct, agent, agent_architecture, anthropic/claude-3-5-sonnet-20240620","2025-05-08T21:39:57.000Z","277","ixq9fd8l","agent_architecture","ReAct","","","","MLAgentBench","","","","","Full","","anthropic/claude-3-5-sonnet-20240620","","","","","","","","","","","","","","","","","","","","","","","","","","2514","0.54381","196","{'Experiment 1': True, 'Experiment 2': True, 'Experiment 3': True, 'Experiment 4': True, 'Experiment 5': True, 'Experiment 6': True, 'Experiment 7': True, 'Experiment 8': True, 'Experiment 9': True, 'Experiment 10': True}","10","","","","","{'Experiment 1': {'total loss': 0.79258}, 'Experiment 2': {'total loss': 0.76919}, 'Experiment 3': {'total loss': 0.59815}, 'Experiment 4': {'total loss': 0.78735}, 'Experiment 5': {'total loss': 0.72689}, 'Experiment 6': {'total loss': 0.74395}, 'Experiment 7': {'total loss': 0.78478}, 'Experiment 8': {'total loss': 0.78478}, 'Experiment 9': {'total loss': 0.87189}, 'Experiment 10': {'total loss': 0.75746}}","{'Experiment 1': 0.0, 'Experiment 2': 0.0, 'Experiment 3': 0.0, 'Experiment 4': 0.0, 'Experiment 5': 0.0, 'Experiment 6': 0.0, 'Experiment 7': 0.0, 'Experiment 8': 0.0, 'Experiment 9': 0.0, 'Experiment 10': 0.0}","","","","168700","","",""
